id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_83,3.886,3.109,6.995,2.85,5.181,0.264,0.098,0.293,0.363,0.342,0.376,0.192,0.151,0.19,0.205,0.145,2.039,1.631,3.67,2.718,0
Positive_36,3.587,3.139,2.84,3.438,7.324,0.323,0.091,0.341,0.408,0.33,0.41,0.219,0.132,0.225,0.153,0.18,1.874,1.64,1.483,3.826,1
Positive_172,6.07,2.875,8.626,7.348,6.07,0.259,0.134,0.265,0.355,0.374,0.351,0.285,0.218,0.292,0.202,0.224,3.095,1.466,4.398,3.095,1
Positive_619,6.897,1.567,3.762,5.486,3.605,0.255,0.124,0.343,0.428,0.315,0.408,0.272,0.179,0.22,0.151,0.176,3.465,0.787,1.89,1.811,1
Positive_1222,4.706,1.176,5.882,3.922,1.176,0.192,0.129,0.329,0.388,0.408,0.373,0.303,0.185,0.209,0.201,0.169,2.339,0.584,2.923,0.584,1
Negative_532,5.983,3.846,0.427,6.41,5.556,0.252,0.15,0.299,0.397,0.338,0.342,0.253,0.167,0.215,0.185,0.193,3.001,1.929,0.214,2.787,0
Negative_944,6.487,1.714,4.162,3.06,5.753,0.275,0.119,0.353,0.435,0.339,0.41,0.261,0.191,0.206,0.158,0.173,3.272,0.864,2.099,2.902,0
Negative_1007,3.498,2.355,3.569,5.282,6.138,0.305,0.088,0.362,0.42,0.367,0.428,0.242,0.137,0.219,0.157,0.172,1.92,1.293,1.959,3.37,0
Negative_820,3.412,2.985,3.412,4.051,5.757,0.264,0.064,0.373,0.437,0.326,0.42,0.212,0.107,0.154,0.145,0.141,1.8,1.574,1.8,3.036,0
Negative_469,2.723,3.218,5.693,2.228,5.941,0.282,0.067,0.384,0.443,0.342,0.433,0.189,0.119,0.151,0.159,0.139,1.464,1.73,3.061,3.194,0
Negative_1082,3.333,7.778,6.667,5.556,2.222,0.178,0.122,0.233,0.344,0.4,0.278,0.292,0.213,0.225,0.236,0.202,1.676,3.911,3.352,1.117,0
Positive_849,5.192,0.962,2.115,3.462,7.115,0.229,0.098,0.35,0.412,0.298,0.41,0.297,0.16,0.204,0.133,0.177,2.407,0.446,0.98,3.298,1
Negative_145,4.245,2.358,2.358,2.83,4.245,0.193,0.094,0.34,0.406,0.349,0.377,0.256,0.152,0.204,0.209,0.166,2.016,1.12,1.12,2.016,0
Negative_509,4.984,3.142,3.359,1.733,3.467,0.213,0.112,0.348,0.429,0.392,0.378,0.289,0.177,0.226,0.14,0.209,2.557,1.612,1.723,1.779,0
Negative_1236,2.755,1.469,3.03,2.388,7.438,0.258,0.067,0.377,0.42,0.359,0.424,0.196,0.107,0.165,0.157,0.138,1.479,0.789,1.627,3.993,0
Negative_231,4.036,1.794,7.175,1.794,6.726,0.256,0.072,0.377,0.435,0.318,0.435,0.158,0.104,0.131,0.135,0.104,2.183,0.97,3.88,3.637,0
Negative_1151,1.734,3.468,6.936,0.578,1.734,0.295,0.023,0.347,0.399,0.26,0.422,0.116,0.047,0.122,0.163,0.087,0.885,1.77,3.54,0.885,0
Positive_246,6.477,0.341,8.636,4.886,3.068,0.217,0.158,0.293,0.361,0.431,0.338,0.323,0.204,0.255,0.185,0.22,3.178,0.167,4.237,1.505,1
Negative_160,5.048,2.314,4.796,3.197,7.236,0.288,0.108,0.353,0.427,0.345,0.402,0.229,0.165,0.19,0.16,0.166,2.675,1.226,2.541,3.834,0
Positive_1097,9.132,0.449,5.539,13.174,3.293,0.22,0.153,0.299,0.395,0.347,0.344,0.277,0.187,0.234,0.192,0.199,4.656,0.229,2.824,1.679,1
Negative_146,6.034,2.586,3.448,2.586,12.069,0.328,0.121,0.405,0.491,0.302,0.448,0.191,0.217,0.165,0.087,0.157,3.262,1.398,1.864,6.525,0
Negative_961,5.015,2.95,2.065,4.13,6.785,0.342,0.08,0.428,0.507,0.239,0.525,0.163,0.142,0.192,0.133,0.127,2.626,1.545,1.081,3.553,0
Negative_301,0.0,6.25,3.125,6.25,7.812,0.312,0.016,0.359,0.422,0.312,0.375,0.349,0.032,0.286,0.175,0.27,0.0,3.066,1.533,3.833,0
Negative_798,1.667,7.778,3.889,6.111,6.111,0.206,0.106,0.306,0.4,0.344,0.333,0.19,0.101,0.162,0.145,0.151,0.88,4.105,2.053,3.225,0
Negative_20,0.826,3.306,3.306,1.653,12.397,0.355,0.033,0.438,0.479,0.339,0.455,0.142,0.058,0.1,0.117,0.092,0.477,1.91,1.91,7.162,0
Negative_1288,4.525,4.977,4.525,11.765,5.43,0.294,0.095,0.344,0.439,0.262,0.394,0.236,0.155,0.2,0.168,0.164,2.282,2.51,2.282,2.739,0
Negative_1090,1.754,3.509,0.0,3.509,11.404,0.307,0.079,0.474,0.526,0.254,0.518,0.195,0.133,0.124,0.106,0.088,0.936,1.873,0.0,6.086,0
Negative_1111,6.667,0.952,2.857,0.0,6.667,0.257,0.133,0.352,0.429,0.267,0.41,0.202,0.144,0.212,0.154,0.154,3.072,0.439,1.317,3.072,0
Negative_1008,2.695,2.965,3.235,1.078,7.008,0.28,0.057,0.402,0.458,0.315,0.445,0.165,0.089,0.114,0.127,0.089,1.398,1.538,1.678,3.635,0
Positive_543,8.421,1.053,4.211,10.526,1.053,0.221,0.168,0.316,0.411,0.337,0.347,0.34,0.255,0.255,0.191,0.223,4.36,0.545,2.18,0.545,1
Positive_1164,4.688,0.0,7.031,6.641,1.953,0.199,0.129,0.305,0.352,0.43,0.359,0.325,0.196,0.267,0.18,0.227,2.383,0.0,3.573,0.993,1
Negative_155,6.676,7.158,3.854,2.753,2.478,0.218,0.12,0.322,0.46,0.331,0.37,0.304,0.189,0.246,0.148,0.215,3.353,3.595,1.935,1.244,0
Positive_782,4.557,1.646,5.949,6.076,4.43,0.243,0.124,0.27,0.332,0.397,0.32,0.247,0.185,0.234,0.18,0.204,2.358,0.852,3.078,2.292,1
Negative_948,4.348,4.348,0.0,4.348,10.435,0.261,0.087,0.391,0.478,0.322,0.409,0.316,0.14,0.219,0.14,0.219,2.252,2.252,0.0,5.405,0
Negative_1308,4.558,2.145,6.166,6.166,5.362,0.249,0.088,0.33,0.397,0.373,0.373,0.301,0.145,0.237,0.191,0.226,2.302,1.083,3.114,2.708,0
Negative_817,0.855,3.419,3.419,13.675,3.419,0.231,0.026,0.299,0.342,0.299,0.35,0.31,0.017,0.216,0.267,0.19,0.383,1.532,1.532,1.532,0
Positive_1163,3.704,0.0,5.864,3.086,6.481,0.204,0.148,0.327,0.364,0.414,0.377,0.285,0.189,0.238,0.189,0.207,1.745,0.0,2.763,3.054,1
Negative_1183,6.0,14.4,3.6,6.4,8.4,0.304,0.108,0.276,0.48,0.268,0.348,0.249,0.137,0.265,0.161,0.233,3.138,7.531,1.883,4.393,0
Positive_517,3.472,2.361,6.806,8.194,4.861,0.258,0.106,0.308,0.367,0.378,0.367,0.267,0.164,0.232,0.203,0.2,1.799,1.224,3.527,2.519,1
Positive_366,6.977,1.968,5.903,6.798,5.188,0.288,0.129,0.279,0.369,0.347,0.358,0.283,0.195,0.274,0.226,0.228,3.509,0.99,2.969,2.609,1
Positive_541,4.982,2.446,6.25,6.522,2.536,0.22,0.117,0.245,0.32,0.4,0.304,0.264,0.178,0.247,0.218,0.214,2.521,1.238,3.162,1.283,1
Negative_342,2.564,8.974,3.846,6.41,7.692,0.244,0.026,0.295,0.41,0.295,0.333,0.208,0.039,0.182,0.182,0.143,1.375,4.813,2.063,4.126,0
Negative_227,3.448,0.69,1.379,0.69,11.034,0.352,0.076,0.51,0.552,0.262,0.545,0.181,0.125,0.056,0.104,0.049,1.863,0.373,0.745,5.96,0
Positive_11,5.117,4.691,8.316,4.691,4.478,0.29,0.1,0.333,0.431,0.345,0.388,0.209,0.156,0.199,0.171,0.152,2.615,2.397,4.25,2.288,1
Positive_888,7.522,0.0,6.637,11.504,3.245,0.22,0.142,0.319,0.394,0.369,0.367,0.3,0.191,0.23,0.179,0.192,3.897,0.0,3.439,1.681,1
Negative_933,5.606,2.477,2.999,3.52,6.519,0.283,0.137,0.326,0.407,0.347,0.382,0.226,0.183,0.214,0.171,0.172,2.851,1.26,1.525,3.315,0
Positive_97,3.717,1.239,2.92,7.257,7.965,0.307,0.117,0.407,0.457,0.313,0.455,0.228,0.173,0.176,0.16,0.151,1.928,0.643,1.515,4.131,1
Negative_588,2.679,2.083,4.464,2.381,8.333,0.271,0.065,0.33,0.378,0.363,0.396,0.26,0.107,0.233,0.188,0.182,1.36,1.057,2.266,4.23,0
Positive_967,4.75,1.118,4.551,4.391,6.866,0.273,0.111,0.335,0.394,0.328,0.392,0.226,0.151,0.181,0.181,0.151,2.45,0.577,2.347,3.541,1
Negative_837,5.797,1.449,4.348,4.348,2.899,0.217,0.13,0.29,0.362,0.391,0.29,0.426,0.191,0.324,0.25,0.324,2.659,0.665,1.995,1.33,0
Positive_239,5.806,2.032,4.499,7.837,4.499,0.234,0.145,0.253,0.331,0.367,0.315,0.314,0.212,0.282,0.206,0.244,2.841,0.994,2.202,2.202,1
Positive_826,7.485,0.0,9.281,13.623,2.545,0.231,0.136,0.24,0.314,0.397,0.311,0.292,0.172,0.297,0.201,0.231,3.793,0.0,4.703,1.29,1
Positive_586,6.54,0.545,7.629,9.537,3.542,0.229,0.139,0.223,0.294,0.381,0.327,0.284,0.199,0.32,0.238,0.232,3.189,0.266,3.72,1.727,1
Negative_1205,0.0,1.389,0.0,1.389,11.111,0.264,0.014,0.375,0.389,0.292,0.431,0.197,0.028,0.169,0.169,0.141,0.0,0.661,0.0,5.285,0
Positive_591,4.47,0.985,5.227,3.03,5.379,0.225,0.113,0.356,0.411,0.394,0.404,0.291,0.175,0.2,0.166,0.171,2.261,0.498,2.644,2.721,1
Positive_453,4.424,2.16,3.807,4.218,6.173,0.28,0.101,0.332,0.398,0.377,0.398,0.255,0.162,0.229,0.165,0.183,2.349,1.147,2.022,3.278,1
Negative_46,0.0,0.0,1.905,9.524,7.619,0.39,0.095,0.362,0.362,0.343,0.41,0.135,0.135,0.173,0.192,0.163,0.0,0.0,1.067,4.267,0
Negative_1056,5.503,2.819,3.49,4.295,5.638,0.319,0.102,0.352,0.435,0.326,0.415,0.22,0.164,0.226,0.159,0.181,2.943,1.508,1.866,3.015,0
Positive_794,3.429,2.857,5.714,3.143,3.429,0.254,0.06,0.266,0.329,0.403,0.331,0.198,0.092,0.195,0.192,0.163,1.816,1.513,3.026,1.816,1
Negative_275,2.273,1.515,1.515,1.515,11.364,0.311,0.076,0.432,0.47,0.341,0.47,0.137,0.092,0.107,0.115,0.099,1.254,0.836,0.836,6.268,0
Negative_993,0.8,1.6,4.8,2.4,7.2,0.256,0.144,0.28,0.304,0.464,0.32,0.347,0.226,0.323,0.202,0.29,0.4,0.8,2.399,3.598,0
Positive_242,6.383,2.128,7.329,5.674,6.856,0.277,0.121,0.312,0.397,0.312,0.378,0.275,0.178,0.261,0.171,0.192,3.075,1.025,3.531,3.303,1
Negative_128,4.762,0.0,1.19,2.381,8.929,0.351,0.125,0.47,0.518,0.226,0.518,0.21,0.162,0.138,0.12,0.132,2.311,0.0,0.577,4.333,0
Negative_69,6.618,1.471,2.941,2.206,5.882,0.199,0.162,0.316,0.397,0.39,0.353,0.326,0.23,0.222,0.17,0.207,3.145,0.699,1.398,2.796,0
Positive_38,4.176,3.956,5.495,6.593,8.791,0.338,0.108,0.356,0.437,0.332,0.411,0.209,0.174,0.214,0.152,0.183,2.285,2.164,3.006,4.81,1
Negative_618,2.577,3.351,3.351,4.639,9.021,0.304,0.062,0.407,0.466,0.322,0.454,0.248,0.103,0.22,0.158,0.178,1.474,1.917,1.917,5.16,0
Negative_1140,4.412,29.412,0.0,11.765,5.882,0.221,0.162,0.382,0.721,0.147,0.382,0.373,0.284,0.209,0.03,0.209,2.705,18.03,0.0,3.606,0
Negative_397,4.492,1.891,1.891,5.437,5.674,0.251,0.139,0.381,0.444,0.338,0.435,0.277,0.199,0.166,0.128,0.133,2.306,0.971,0.971,2.913,0
Positive_102,5.136,2.715,3.742,4.109,5.356,0.263,0.126,0.324,0.403,0.36,0.383,0.269,0.189,0.22,0.159,0.182,2.587,1.367,1.885,2.697,1
Negative_570,0.0,18.987,0.0,0.0,1.266,0.354,0.0,0.506,0.696,0.025,0.696,0.051,0.0,0.077,0.013,0.038,0.0,10.339,0.0,0.689,0
Positive_952,6.784,3.256,5.02,7.463,5.02,0.216,0.137,0.267,0.368,0.361,0.32,0.307,0.189,0.26,0.194,0.23,3.399,1.631,2.515,2.515,1
Positive_25,3.947,1.316,5.921,4.605,7.895,0.25,0.086,0.289,0.342,0.461,0.316,0.311,0.139,0.265,0.179,0.245,2.144,0.715,3.216,4.288,1
Negative_1224,4.487,4.487,6.41,3.205,8.974,0.417,0.115,0.385,0.474,0.308,0.429,0.148,0.213,0.174,0.123,0.135,2.513,2.513,3.59,5.026,0
Negative_297,4.989,4.989,4.535,5.215,6.122,0.265,0.118,0.308,0.408,0.37,0.37,0.241,0.145,0.218,0.164,0.191,2.605,2.605,2.368,3.197,0
Positive_482,2.218,1.21,6.653,4.032,4.435,0.3,0.067,0.321,0.355,0.397,0.395,0.19,0.107,0.186,0.168,0.158,1.236,0.674,3.708,2.472,1
Positive_39,4.444,5.926,2.716,6.049,8.519,0.31,0.114,0.352,0.456,0.302,0.419,0.241,0.177,0.221,0.14,0.172,2.315,3.088,1.415,4.438,1
Negative_548,4.299,2.056,2.897,4.673,8.692,0.307,0.09,0.402,0.465,0.331,0.446,0.237,0.144,0.185,0.138,0.162,2.348,1.123,1.582,4.747,0
Negative_1168,3.125,1.786,1.786,3.571,9.821,0.335,0.08,0.397,0.446,0.326,0.433,0.193,0.117,0.166,0.112,0.148,1.64,0.937,0.937,5.155,0
Positive_639,6.649,1.764,5.97,7.056,4.885,0.232,0.128,0.252,0.336,0.374,0.33,0.289,0.189,0.273,0.234,0.221,3.291,0.873,2.955,2.418,1
Negative_947,3.488,1.744,6.395,1.744,8.14,0.244,0.07,0.424,0.477,0.302,0.465,0.234,0.076,0.181,0.158,0.152,1.758,0.879,3.223,4.103,0
Negative_360,5.959,4.404,3.368,4.663,6.995,0.269,0.124,0.308,0.412,0.347,0.36,0.239,0.182,0.239,0.169,0.205,2.995,2.214,1.693,3.516,0
Positive_450,3.202,1.97,4.187,7.635,5.911,0.219,0.131,0.333,0.384,0.355,0.387,0.311,0.21,0.247,0.21,0.205,1.578,0.971,2.064,2.914,1
Positive_1030,7.514,1.156,6.069,9.249,2.312,0.214,0.15,0.295,0.382,0.364,0.341,0.31,0.209,0.249,0.186,0.217,3.719,0.572,3.004,1.144,1
Negative_844,3.774,1.887,1.887,5.031,25.157,0.541,0.057,0.491,0.547,0.119,0.553,0.101,0.076,0.12,0.07,0.082,2.199,1.099,1.099,14.655,0
Negative_628,9.189,0.541,2.703,6.486,9.73,0.216,0.157,0.432,0.53,0.308,0.454,0.239,0.266,0.087,0.071,0.082,5.232,0.308,1.539,5.54,0
Negative_366,5.544,2.345,3.625,3.625,7.463,0.284,0.109,0.358,0.437,0.365,0.409,0.229,0.141,0.205,0.132,0.171,2.98,1.261,1.949,4.012,0
Negative_1258,4.37,2.521,3.361,3.025,7.563,0.326,0.091,0.39,0.459,0.339,0.45,0.2,0.14,0.175,0.116,0.125,2.342,1.351,1.801,4.053,0
Negative_124,3.151,1.891,2.101,2.311,8.824,0.279,0.092,0.357,0.408,0.374,0.387,0.229,0.139,0.181,0.164,0.162,1.656,0.994,1.104,4.636,0
Negative_1177,5.517,2.414,2.414,3.793,10.69,0.372,0.107,0.459,0.538,0.252,0.514,0.166,0.142,0.149,0.107,0.107,2.962,1.296,1.296,5.74,0
Negative_908,4.046,1.734,5.78,2.89,3.468,0.295,0.092,0.37,0.428,0.358,0.439,0.215,0.151,0.163,0.122,0.14,2.121,0.909,3.03,1.818,0
Positive_814,5.983,1.923,7.906,5.342,4.274,0.252,0.107,0.286,0.365,0.382,0.335,0.244,0.158,0.231,0.21,0.191,3.069,0.986,4.055,2.192,1
Negative_634,4.563,2.913,2.621,3.592,6.117,0.248,0.103,0.32,0.395,0.411,0.364,0.25,0.154,0.225,0.153,0.19,2.45,1.564,1.407,3.285,0
Positive_936,6.022,2.151,7.312,5.376,4.731,0.29,0.097,0.288,0.37,0.344,0.355,0.237,0.138,0.239,0.233,0.196,3.057,1.092,3.712,2.402,1
Negative_137,1.471,10.294,2.941,5.882,1.471,0.309,0.029,0.353,0.471,0.265,0.441,0.209,0.06,0.179,0.134,0.134,0.815,5.706,1.63,0.815,0
Negative_367,3.239,2.227,1.619,3.036,7.49,0.263,0.107,0.366,0.421,0.34,0.413,0.256,0.164,0.195,0.158,0.176,1.606,1.105,0.803,3.715,0
Positive_1034,5.108,1.768,5.501,4.519,6.287,0.257,0.138,0.303,0.371,0.379,0.363,0.293,0.211,0.248,0.195,0.209,2.529,0.875,2.723,3.113,1
Negative_119,5.0,1.429,5.714,8.571,7.857,0.286,0.129,0.4,0.464,0.343,0.429,0.23,0.223,0.187,0.122,0.165,2.71,0.774,3.096,4.258,0
Positive_393,5.67,2.248,8.113,5.474,4.301,0.221,0.122,0.312,0.391,0.391,0.35,0.246,0.182,0.197,0.155,0.169,2.97,1.177,4.249,2.253,1
Positive_769,5.747,2.586,4.023,2.874,4.885,0.256,0.124,0.319,0.402,0.374,0.379,0.311,0.205,0.262,0.193,0.219,2.949,1.327,2.064,2.507,1
Positive_167,5.775,1.368,3.647,5.775,5.775,0.277,0.106,0.334,0.406,0.331,0.394,0.265,0.167,0.234,0.195,0.195,2.934,0.695,1.853,2.934,1
Negative_335,2.979,4.894,2.979,3.617,7.66,0.268,0.083,0.366,0.445,0.334,0.415,0.237,0.126,0.171,0.156,0.151,1.529,2.511,1.529,3.931,0
Negative_1281,6.697,3.464,4.619,4.388,6.467,0.242,0.109,0.319,0.42,0.349,0.363,0.262,0.169,0.238,0.155,0.199,3.336,1.726,2.301,3.222,0
Positive_390,2.987,2.201,5.346,2.987,5.031,0.27,0.069,0.325,0.377,0.365,0.39,0.184,0.102,0.172,0.176,0.135,1.602,1.18,2.867,2.698,1
Negative_353,3.145,3.145,2.516,3.145,4.403,0.264,0.044,0.377,0.44,0.327,0.472,0.165,0.076,0.19,0.152,0.108,1.693,1.693,1.355,2.371,0
Positive_1144,7.092,2.482,3.191,5.674,6.028,0.23,0.174,0.319,0.415,0.376,0.351,0.292,0.235,0.238,0.171,0.214,3.594,1.258,1.617,3.055,1
Negative_708,5.761,2.058,2.469,4.115,6.996,0.292,0.152,0.399,0.477,0.325,0.449,0.186,0.165,0.153,0.132,0.112,2.988,1.067,1.281,3.628,0
Positive_563,6.468,0.332,6.633,4.809,4.975,0.217,0.114,0.33,0.398,0.391,0.391,0.311,0.179,0.246,0.188,0.204,3.357,0.172,3.442,2.582,1
Negative_838,0.0,0.0,0.0,22.034,5.085,0.186,0.017,0.322,0.322,0.254,0.356,0.345,0.017,0.207,0.207,0.155,0.0,0.0,0.0,2.393,0
Negative_355,4.455,2.97,0.495,1.98,4.95,0.134,0.173,0.342,0.416,0.401,0.347,0.338,0.204,0.234,0.214,0.229,2.102,1.401,0.234,2.335,0
Negative_444,2.312,2.312,3.468,5.202,6.358,0.254,0.139,0.358,0.405,0.41,0.393,0.25,0.203,0.203,0.174,0.186,1.19,1.19,1.785,3.272,0
Negative_276,2.778,3.472,4.167,4.167,7.639,0.312,0.118,0.333,0.396,0.396,0.368,0.259,0.21,0.259,0.147,0.224,1.514,1.892,2.27,4.162,0
Positive_1,3.363,3.587,8.52,4.26,4.709,0.276,0.072,0.345,0.415,0.359,0.383,0.211,0.112,0.178,0.126,0.155,1.806,1.926,4.575,2.529,1
Positive_685,2.516,2.201,4.088,5.346,2.83,0.255,0.079,0.308,0.355,0.387,0.377,0.271,0.12,0.24,0.186,0.177,1.319,1.154,2.143,1.484,1
Negative_477,2.913,4.854,3.236,2.265,3.883,0.239,0.049,0.33,0.408,0.369,0.385,0.198,0.088,0.146,0.166,0.127,1.541,2.567,1.711,2.054,0
Positive_529,5.415,2.527,7.581,5.776,3.61,0.235,0.126,0.321,0.401,0.379,0.357,0.236,0.185,0.221,0.185,0.196,2.796,1.305,3.914,1.864,1
Positive_277,5.43,2.459,5.328,6.762,5.123,0.283,0.114,0.305,0.384,0.359,0.371,0.252,0.176,0.233,0.195,0.194,2.823,1.278,2.77,2.663,1
Positive_637,5.993,2.996,2.996,2.247,5.993,0.251,0.112,0.337,0.427,0.303,0.401,0.286,0.18,0.214,0.169,0.169,2.881,1.44,1.44,2.881,1
Negative_746,2.928,1.849,2.773,2.465,6.009,0.247,0.116,0.376,0.424,0.367,0.433,0.239,0.176,0.204,0.162,0.165,1.498,0.946,1.418,3.074,0
Positive_945,4.975,2.488,3.483,6.468,3.98,0.254,0.154,0.259,0.333,0.393,0.328,0.21,0.19,0.19,0.22,0.14,2.542,1.271,1.779,2.033,1
Positive_977,3.627,1.554,7.254,5.527,2.763,0.282,0.078,0.351,0.402,0.345,0.408,0.189,0.128,0.192,0.187,0.154,1.939,0.831,3.878,1.477,1
Positive_120,3.343,2.786,11.421,6.407,4.735,0.262,0.053,0.27,0.331,0.387,0.334,0.187,0.081,0.201,0.201,0.162,1.805,1.504,6.166,2.556,1
Negative_1184,3.0,1.0,3.667,3.667,7.333,0.253,0.093,0.363,0.403,0.35,0.403,0.271,0.157,0.221,0.177,0.187,1.464,0.488,1.789,3.578,0
Positive_1035,4.42,1.657,5.157,6.814,6.077,0.28,0.122,0.344,0.405,0.335,0.405,0.288,0.188,0.223,0.175,0.185,2.208,0.828,2.577,3.036,1
Negative_828,3.39,2.663,4.479,4.722,6.659,0.259,0.113,0.321,0.381,0.378,0.378,0.251,0.156,0.229,0.199,0.181,1.741,1.368,2.301,3.421,0
Positive_35,2.536,2.536,4.348,4.348,6.884,0.293,0.071,0.351,0.402,0.344,0.404,0.216,0.12,0.201,0.167,0.167,1.356,1.356,2.324,3.68,1
Negative_626,5.464,7.104,2.732,2.186,9.29,0.284,0.131,0.295,0.421,0.366,0.377,0.247,0.209,0.258,0.159,0.198,2.96,3.849,1.48,5.033,0
Negative_1287,1.235,4.938,9.877,14.815,6.173,0.21,0.086,0.259,0.321,0.432,0.284,0.312,0.113,0.35,0.237,0.312,0.633,2.532,5.064,3.165,0
Positive_435,4.955,0.45,6.306,9.91,5.405,0.216,0.131,0.27,0.324,0.383,0.32,0.348,0.176,0.281,0.213,0.249,2.373,0.216,3.021,2.589,1
Positive_793,2.584,1.392,3.579,3.38,6.163,0.245,0.087,0.288,0.328,0.398,0.35,0.295,0.151,0.273,0.235,0.221,1.271,0.685,1.761,3.032,1
Positive_1195,6.238,1.17,7.018,7.018,5.653,0.259,0.109,0.294,0.368,0.316,0.363,0.244,0.156,0.252,0.193,0.203,3.051,0.572,3.432,2.765,1
Positive_920,8.205,0.0,8.205,8.974,3.333,0.195,0.2,0.256,0.338,0.413,0.297,0.362,0.262,0.285,0.201,0.254,3.958,0.0,3.958,1.608,1
Negative_997,3.214,2.143,4.643,6.071,9.286,0.318,0.114,0.386,0.439,0.354,0.421,0.233,0.161,0.201,0.104,0.168,1.69,1.127,2.441,4.882,0
Positive_218,5.791,1.336,4.232,3.786,4.232,0.281,0.136,0.323,0.394,0.381,0.374,0.272,0.214,0.254,0.154,0.212,3.053,0.704,2.231,2.231,1
Negative_41,0.0,3.279,5.738,3.279,5.738,0.328,0.033,0.402,0.434,0.352,0.459,0.198,0.066,0.165,0.14,0.124,0.0,1.884,3.297,3.297,0
Negative_54,4.348,0.0,13.043,4.348,0.0,0.13,0.174,0.348,0.391,0.522,0.348,0.409,0.318,0.364,0.136,0.364,2.494,0.0,7.481,0.0,0
Positive_127,9.633,1.835,6.881,7.339,4.128,0.248,0.138,0.261,0.376,0.349,0.335,0.244,0.194,0.272,0.189,0.207,4.725,0.9,3.375,2.025,1
Negative_1163,4.386,3.947,7.456,6.579,2.193,0.285,0.066,0.399,0.482,0.276,0.443,0.167,0.11,0.141,0.141,0.11,2.41,2.169,4.097,1.205,0
Positive_561,6.715,0.0,4.537,6.715,3.085,0.263,0.107,0.345,0.412,0.347,0.43,0.269,0.18,0.222,0.176,0.164,3.522,0.0,2.38,1.618,1
