id,N,D,C,E,I,K,F,P,S,V,APAAC3,APAAC4,APAAC5,APAAC6,APAAC10,APAAC19,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC2,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_SecondaryStrT13,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD1001,_PolarizabilityD2001,_SolventAccessibilityD1001,_SolventAccessibilityD2001,_SolventAccessibilityD2100,_SecondaryStrD2001,_SecondaryStrD3001,_ChargeD1001,_ChargeD1100,_ChargeD2001,_ChargeD3001,_ChargeD3075,_ChargeD3100,_PolarityD2001,_PolarityD3001,_NormalizedVDWVD1001,_NormalizedVDWVD2001,_HydrophobicityD1001,_HydrophobicityD1100,_HydrophobicityD2001,AP,RP,DI,DK,CL,CS,EI,IA,ID,IE,IK,LC,LP,KD,KE,KI,KF,FD,FE,PA,PR,PG,PP,PS,SC,SP,YI,VD,PAAC2,PAAC3,PAAC4,PAAC5,PAAC10,PAAC12,PAAC14,PAAC15,PAAC16,PAAC21,PAAC22,PAAC25,label
Positive_35,1.562,3.125,0.0,8.594,5.469,10.938,4.688,10.156,3.906,7.812,0.845,1.69,0.0,4.648,2.958,2.535,0.391,0.344,0.32,0.297,0.234,0.711,0.117,0.227,0.391,0.258,0.352,0.391,0.344,0.32,0.339,0.181,0.213,0.213,0.181,0.063,0.157,0.268,0.276,0.205,1.562,4.688,2.344,5.469,98.438,1.562,2.344,7.031,94.531,0.781,5.469,84.375,97.656,1.562,5.469,1.562,6.25,5.469,98.438,1.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.0,1.57,0.0,0.0,0.0,0.79,0.79,1.57,0.0,0.0,1.57,0.0,0.0,3.066,0.766,1.533,0.0,2.683,5.366,2.3,4.982,1.916,4.636,5.799,4.913,1
Negative_9,2.771,6.236,2.309,7.159,5.774,7.39,3.233,6.467,5.543,5.774,2.161,4.862,1.8,5.582,4.502,2.701,0.261,0.342,0.252,0.256,0.289,0.732,0.134,0.303,0.365,0.388,0.351,0.261,0.342,0.36,0.215,0.312,0.229,0.211,0.238,0.016,0.201,0.245,0.178,0.213,1.155,0.462,0.693,0.462,100.0,0.693,1.155,6.467,99.538,0.231,0.462,79.215,93.995,1.386,0.462,1.155,0.462,0.462,100.0,1.386,0.46,0.0,0.93,0.0,0.0,0.23,0.46,0.23,0.46,0.23,0.23,0.23,0.23,0.46,0.46,0.69,0.0,0.23,0.46,0.93,0.23,0.69,0.93,0.23,0.0,0.46,0.0,0.69,3.019,1.393,3.135,1.161,2.903,3.715,1.625,3.251,2.787,4.99,5.151,5.191,0
Positive_167,6.497,5.381,0.406,3.756,4.67,3.553,4.264,4.365,8.934,7.614,6.332,5.245,0.396,3.661,4.552,3.265,0.19,0.278,0.289,0.311,0.327,0.839,0.091,0.393,0.288,0.451,0.359,0.19,0.278,0.437,0.159,0.244,0.267,0.224,0.253,0.019,0.162,0.189,0.144,0.161,0.711,0.203,0.203,0.406,98.579,0.203,0.508,1.32,96.853,0.102,0.812,71.98,97.97,0.508,0.406,0.508,0.203,0.406,98.579,0.508,0.51,0.1,0.1,0.41,0.0,0.0,0.2,0.41,0.1,0.0,0.1,0.1,0.51,0.3,0.3,0.3,0.1,0.2,0.3,0.51,0.0,0.1,0.1,0.3,0.0,0.3,0.0,0.71,1.875,3.528,2.922,0.22,2.536,1.929,2.316,2.37,4.851,4.583,4.61,4.578,1
Negative_187,0.457,1.37,2.74,2.74,3.196,0.457,0.913,4.11,10.959,8.219,0.242,0.726,1.453,1.453,1.695,0.242,0.137,0.142,0.26,0.215,0.292,0.909,0.041,0.452,0.174,0.493,0.37,0.137,0.142,0.489,0.106,0.124,0.275,0.193,0.271,0.0,0.083,0.092,0.083,0.078,0.913,1.37,2.74,1.37,95.89,10.502,0.913,5.479,94.977,0.457,1.37,29.68,95.89,0.913,1.37,0.913,1.37,1.37,95.89,0.913,1.38,0.46,0.0,0.0,0.46,0.0,0.0,0.92,0.0,0.0,0.0,0.92,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.46,0.46,0.46,0.92,0.0,0.0,0.0,0.0,2.67,0.267,0.801,1.602,1.869,0.267,0.534,2.403,6.407,3.704,4.072,3.947,0
Negative_14,2.645,4.959,1.157,12.893,2.81,2.314,1.818,8.264,9.917,5.124,1.418,2.659,0.62,6.913,1.507,0.532,0.14,0.314,0.286,0.182,0.347,0.764,0.179,0.392,0.339,0.453,0.407,0.14,0.314,0.426,0.132,0.202,0.21,0.146,0.308,0.022,0.207,0.166,0.104,0.142,0.331,0.661,0.331,0.496,99.504,3.636,0.331,0.496,97.686,0.165,5.785,65.785,99.504,0.331,0.496,0.331,0.661,0.496,99.504,0.331,0.66,0.0,0.17,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,1.82,0.17,0.33,0.0,0.0,0.0,0.33,0.33,0.33,0.99,0.66,1.66,0.17,0.5,0.17,0.0,1.964,1.497,2.806,0.655,1.59,1.309,1.029,4.676,5.611,4.071,4.317,4.227,0
Positive_158,3.597,7.194,0.0,5.755,3.957,2.158,6.475,4.676,5.396,6.475,4.214,8.429,0.0,6.743,4.636,5.479,0.227,0.255,0.259,0.309,0.291,0.802,0.129,0.392,0.281,0.464,0.309,0.227,0.255,0.464,0.137,0.235,0.249,0.217,0.253,0.018,0.206,0.191,0.112,0.144,1.799,0.719,1.079,2.878,100.0,1.079,0.719,15.108,100.0,0.36,3.237,75.18,96.043,0.719,2.878,0.719,1.439,2.878,100.0,0.719,1.08,0.0,0.36,0.0,0.0,0.0,0.0,0.36,0.72,0.36,0.0,0.0,0.72,0.0,0.36,0.0,0.0,0.36,0.0,0.36,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,2.345,1.804,3.607,0.0,1.984,1.082,3.247,2.345,2.706,4.866,5.074,5.047,1
Negative_176,0.893,5.357,12.5,3.571,3.571,0.893,2.679,6.25,6.25,2.679,0.833,4.995,11.655,3.33,3.33,3.33,0.214,0.214,0.312,0.348,0.259,0.848,0.089,0.348,0.25,0.527,0.259,0.214,0.214,0.42,0.18,0.18,0.288,0.306,0.18,0.036,0.117,0.234,0.126,0.18,1.786,3.571,4.464,7.143,100.0,2.679,1.786,45.536,99.107,0.893,20.536,69.643,100.0,1.786,7.143,1.786,4.464,7.143,100.0,1.786,1.8,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,2.961,0.494,2.961,6.908,1.974,0.494,1.481,3.454,3.454,4.709,4.526,4.443,0
Negative_137,2.41,2.41,6.024,3.614,2.41,9.639,3.614,4.819,8.434,9.639,1.484,1.484,3.709,2.225,1.484,0.742,0.241,0.241,0.217,0.277,0.181,0.819,0.06,0.289,0.265,0.373,0.386,0.241,0.241,0.325,0.183,0.268,0.268,0.244,0.171,0.0,0.122,0.244,0.159,0.22,4.819,3.614,3.614,2.41,100.0,6.024,4.819,2.41,100.0,1.205,36.145,65.06,80.723,4.819,2.41,4.819,3.614,2.41,100.0,4.819,0.0,0.0,0.0,0.0,1.22,0.0,1.22,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,1.369,1.369,1.369,3.423,1.369,5.477,2.054,2.738,4.793,4.739,4.08,3.856,0
Negative_67,1.807,1.807,0.904,15.964,0.0,8.434,1.807,10.542,9.639,1.807,0.935,0.935,0.468,8.257,0.0,0.0,0.114,0.313,0.226,0.063,0.34,0.732,0.178,0.63,0.316,0.657,0.229,0.114,0.313,0.633,0.066,0.278,0.193,0.082,0.347,0.033,0.254,0.051,0.051,0.048,0.602,1.205,0.602,1.205,100.0,1.506,0.602,2.108,80.723,0.301,3.916,78.012,100.0,0.602,1.205,0.602,1.205,1.205,100.0,0.602,3.32,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.21,0.0,0.0,0.0,0.0,3.02,0.0,1.21,0.91,2.11,0.0,2.42,0.0,0.0,0.36,1.08,1.08,0.54,0.0,5.042,1.08,6.302,5.763,3.733,3.784,4.023,0
Negative_19,1.951,3.415,1.951,5.854,1.707,2.439,5.122,8.537,8.293,9.024,1.296,2.268,1.296,3.888,1.134,0.648,0.22,0.273,0.276,0.263,0.273,0.8,0.093,0.346,0.295,0.4,0.38,0.22,0.273,0.378,0.215,0.232,0.257,0.232,0.215,0.022,0.137,0.186,0.169,0.164,1.22,0.488,0.732,0.488,100.0,3.171,0.976,2.683,98.78,0.244,0.488,77.805,100.0,0.976,0.488,0.976,0.488,0.488,100.0,0.976,0.24,0.73,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.49,0.0,0.24,0.49,0.0,0.24,0.24,0.73,0.73,1.22,0.24,0.73,0.0,0.24,4.292,1.01,1.767,1.01,0.883,1.262,2.651,4.418,4.292,4.829,5.173,4.409,0
Negative_33,0.307,3.988,3.374,5.521,3.374,3.067,1.227,6.135,7.362,6.748,0.395,5.133,4.342,7.106,4.342,2.368,0.248,0.255,0.276,0.242,0.233,0.782,0.095,0.294,0.285,0.368,0.383,0.248,0.255,0.344,0.218,0.277,0.277,0.298,0.268,0.025,0.154,0.277,0.178,0.234,0.613,1.227,0.613,1.84,99.08,0.92,2.454,6.748,97.853,0.307,1.84,78.221,99.08,0.613,1.84,0.613,1.227,1.84,99.08,0.613,0.62,0.31,0.0,0.0,0.92,0.0,0.92,0.0,0.0,0.0,0.0,0.92,1.54,0.0,0.31,0.62,0.0,0.0,0.0,0.92,0.0,0.31,0.0,0.62,0.62,0.62,0.0,0.62,4.533,0.151,1.965,1.662,1.662,1.511,0.604,3.022,3.627,5.419,5.247,4.781,0
Positive_105,5.23,7.741,0.628,6.067,5.858,4.812,5.649,6.695,6.695,4.603,5.209,7.71,0.625,6.043,5.835,5.001,0.259,0.308,0.285,0.278,0.335,0.77,0.138,0.337,0.337,0.421,0.32,0.259,0.308,0.416,0.216,0.26,0.262,0.212,0.218,0.027,0.224,0.231,0.18,0.178,0.418,0.628,1.883,0.628,99.791,0.418,1.255,0.837,97.49,0.209,0.628,84.1,99.791,0.418,0.628,0.418,0.628,0.628,99.791,0.418,1.05,0.21,0.0,0.63,0.0,0.0,0.42,0.42,0.42,0.63,0.42,0.0,0.63,0.63,0.0,0.21,0.0,1.05,0.0,0.21,0.21,0.42,0.21,0.21,0.0,0.42,0.63,0.84,2.224,2.648,3.92,0.318,2.966,2.437,2.86,3.39,3.39,4.962,5.003,4.671,1
Negative_146,1.887,0.629,3.145,3.145,3.774,2.516,6.918,6.918,9.434,6.289,1.077,0.359,1.795,1.795,2.153,1.077,0.239,0.145,0.289,0.302,0.289,0.899,0.038,0.434,0.164,0.472,0.289,0.239,0.145,0.472,0.146,0.12,0.323,0.234,0.234,0.006,0.07,0.101,0.108,0.089,1.258,1.887,1.258,1.887,100.0,7.547,3.145,2.516,98.742,0.629,1.887,40.252,79.245,1.258,1.887,1.258,1.887,1.887,100.0,1.258,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.0,1.9,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1.27,1.9,0.0,0.0,0.0,0.0,0.0,2.072,1.036,0.345,1.727,2.072,1.381,3.798,3.798,5.179,3.997,4.603,4.625,0
Positive_54,9.202,6.692,0.76,5.323,10.19,8.137,4.259,4.03,7.529,4.791,10.481,7.622,0.866,6.063,11.606,6.843,0.252,0.355,0.261,0.325,0.322,0.77,0.12,0.259,0.366,0.333,0.414,0.252,0.355,0.329,0.246,0.283,0.205,0.221,0.217,0.034,0.18,0.291,0.226,0.236,0.304,0.152,0.228,0.456,100.0,0.228,0.152,0.684,98.631,0.076,0.913,70.646,100.0,0.152,0.456,0.152,0.228,0.456,100.0,0.152,0.23,0.0,0.76,0.91,0.0,0.0,0.76,0.46,0.84,0.61,0.76,0.15,0.23,0.53,0.23,1.07,0.53,0.3,0.0,0.15,0.0,0.23,0.23,0.38,0.08,0.08,0.38,0.46,1.493,4.755,3.458,0.393,5.266,4.205,2.201,2.083,3.891,4.858,5.013,4.969,1
Negative_12,3.107,3.955,3.39,7.627,3.672,7.345,3.39,8.192,11.299,6.78,2.315,2.947,2.526,5.683,2.736,1.894,0.263,0.316,0.297,0.251,0.311,0.749,0.116,0.311,0.336,0.384,0.353,0.263,0.316,0.356,0.21,0.224,0.229,0.193,0.244,0.028,0.147,0.224,0.167,0.181,0.565,1.13,0.847,1.695,100.0,0.565,1.412,1.695,100.0,0.282,2.26,82.203,98.305,0.565,1.695,0.565,1.13,1.695,100.0,0.565,0.0,0.0,0.28,0.0,0.0,0.85,0.28,0.0,0.0,0.0,0.85,0.57,0.57,0.57,0.28,0.0,0.0,0.0,0.0,0.28,0.28,0.57,0.85,1.13,0.57,0.85,0.57,0.28,3.149,1.574,2.004,1.718,1.86,3.721,1.718,4.151,5.725,4.877,5.158,4.811,0
Positive_198,4.587,5.275,0.917,5.046,4.817,4.587,4.587,6.193,8.716,6.422,5.604,6.445,1.12,6.165,5.885,6.165,0.275,0.303,0.291,0.261,0.314,0.78,0.103,0.319,0.328,0.381,0.344,0.275,0.303,0.394,0.202,0.297,0.239,0.189,0.239,0.03,0.159,0.26,0.189,0.223,0.917,0.688,0.688,0.459,99.541,5.505,2.064,0.459,99.541,0.229,7.11,72.936,98.394,0.917,0.459,0.917,0.688,0.459,99.541,0.917,0.23,0.23,0.0,0.23,0.0,0.0,0.23,0.0,0.23,0.46,0.46,0.23,0.92,0.69,0.46,0.23,0.0,0.0,0.23,0.23,0.46,0.92,0.23,1.15,0.0,1.38,0.69,0.46,3.536,2.281,2.623,0.456,2.395,2.281,2.281,3.08,4.334,5.321,5.219,5.035,1
Negative_105,6.422,6.422,2.752,4.587,10.092,3.67,3.67,6.422,9.174,5.505,2.368,2.368,1.015,1.691,3.721,1.691,0.22,0.266,0.275,0.321,0.33,0.807,0.11,0.339,0.275,0.431,0.349,0.22,0.266,0.394,0.194,0.185,0.213,0.231,0.25,0.009,0.139,0.148,0.139,0.083,1.835,2.752,4.587,2.752,99.083,3.67,1.835,10.092,98.165,0.917,8.257,27.523,66.972,1.835,2.752,1.835,2.752,2.752,99.083,1.835,0.93,0.0,0.0,0.93,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.93,1.85,1.85,0.0,0.0,2.492,3.489,3.489,1.495,5.483,1.994,1.994,3.489,4.984,4.493,5.042,4.697,0
Positive_18,1.587,3.704,0.0,7.407,6.878,5.291,5.291,6.349,4.233,6.878,1.513,3.531,0.0,7.061,6.557,5.044,0.323,0.286,0.254,0.302,0.228,0.741,0.111,0.307,0.317,0.344,0.333,0.323,0.286,0.392,0.261,0.293,0.229,0.245,0.165,0.037,0.186,0.239,0.223,0.191,1.058,3.175,1.058,4.233,100.0,5.291,2.646,4.233,97.354,0.529,25.926,82.011,99.471,1.058,4.233,1.058,3.175,4.233,100.0,1.058,0.53,1.06,0.0,0.53,0.0,0.0,0.53,1.06,1.06,0.53,0.0,0.0,0.0,0.0,1.06,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,1.06,0.53,0.0,4.402,0.734,1.712,0.0,3.179,2.446,2.446,2.935,1.957,5.424,5.824,4.865,1
Positive_127,1.099,4.396,7.692,6.593,3.297,20.879,4.396,4.396,2.198,5.495,0.53,2.118,3.706,3.177,1.589,0.0,0.352,0.341,0.176,0.22,0.242,0.681,0.11,0.308,0.407,0.429,0.22,0.352,0.341,0.374,0.267,0.333,0.178,0.222,0.2,0.022,0.156,0.233,0.156,0.2,6.593,4.396,4.396,2.198,100.0,4.396,7.692,2.198,100.0,1.099,24.176,70.33,95.604,6.593,2.198,6.593,4.396,2.198,100.0,6.593,0.0,0.0,1.11,0.0,0.0,0.0,0.0,1.11,0.0,1.11,0.0,0.0,0.0,0.0,1.11,1.11,1.11,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,2.312,4.046,1.734,10.983,2.312,2.312,1.156,5.147,4.921,4.65,1
Negative_92,2.399,4.982,1.845,6.089,0.923,2.214,0.554,12.546,9.041,5.535,1.934,4.016,1.487,4.909,0.744,1.042,0.181,0.299,0.292,0.149,0.375,0.775,0.111,0.41,0.325,0.478,0.341,0.181,0.299,0.448,0.187,0.277,0.222,0.157,0.34,0.024,0.172,0.211,0.131,0.185,0.369,0.554,0.554,0.369,98.339,0.923,0.369,1.292,97.786,0.185,0.369,68.635,98.339,0.738,0.369,0.369,0.554,0.369,98.339,0.738,1.11,0.92,0.0,0.0,0.37,0.0,0.0,0.18,0.0,0.0,0.18,0.55,1.29,0.0,0.37,0.0,0.0,0.0,0.0,1.48,2.03,0.92,1.29,0.92,0.0,1.29,0.0,0.37,4.68,1.217,2.527,0.936,0.468,1.123,0.281,6.364,4.586,5.286,5.073,4.743,0
