id,N,D,C,I,K,F,P,S,APAAC3,APAAC4,APAAC5,APAAC6,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,_SolventAccessibilityD1001,_SecondaryStrD2001,_ChargeD2001,_ChargeD3001,_NormalizedVDWVD2001,DI,IA,ID,PS,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,PAAC22,label
Positive_928,2.56,2.56,2.259,10.09,4.217,5.572,4.066,6.476,1.088,1.088,0.96,2.048,0.245,0.196,0.264,0.238,0.849,0.074,0.328,0.209,0.377,0.378,0.245,0.196,0.38,0.161,0.29,0.281,0.02,0.11,0.158,0.193,0.133,1.205,0.904,0.753,0.151,0.301,1.958,0.45,0.9,0.15,0.3,1.389,1.225,5.474,2.288,2.206,3.513,4.763,1
Positive_856,2.5,6.0,0.0,6.0,9.0,3.0,2.5,5.0,2.015,4.835,0.0,4.835,0.23,0.355,0.165,0.225,0.725,0.12,0.31,0.365,0.37,0.4,0.23,0.355,0.335,0.347,0.161,0.286,0.03,0.181,0.251,0.171,0.236,1.0,1.5,2.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,2.895,0.0,2.895,4.343,1.206,2.413,5.404,1
Negative_883,3.824,4.589,2.294,4.78,4.78,4.207,6.31,7.648,4.143,4.972,2.485,4.143,0.245,0.26,0.294,0.296,0.834,0.084,0.344,0.289,0.413,0.342,0.245,0.26,0.407,0.213,0.289,0.264,0.025,0.132,0.218,0.159,0.172,0.382,0.382,0.382,0.191,3.633,0.382,0.0,0.38,0.19,0.38,2.404,1.202,2.504,2.504,3.305,4.006,4.68,0
Negative_130,3.08,1.437,2.053,11.088,3.696,5.544,5.544,7.187,1.249,0.583,0.833,1.749,0.216,0.179,0.263,0.244,0.877,0.057,0.341,0.185,0.376,0.409,0.216,0.179,0.396,0.144,0.317,0.255,0.014,0.078,0.138,0.183,0.109,1.232,0.411,0.821,0.205,0.616,1.232,0.21,0.21,0.0,0.0,0.806,1.152,6.223,2.074,3.111,4.033,4.523,0
Positive_334,4.38,5.109,2.19,5.839,6.204,1.825,4.745,10.219,4.611,5.378,2.305,8.067,0.201,0.339,0.245,0.277,0.766,0.128,0.296,0.365,0.369,0.431,0.201,0.339,0.336,0.322,0.176,0.223,0.022,0.198,0.278,0.158,0.256,4.015,0.73,1.095,0.365,1.46,4.015,0.73,0.37,0.0,0.37,2.68,1.149,3.063,3.254,2.489,5.36,4.81,1
Negative_83,2.073,3.886,3.109,6.995,2.85,8.29,5.181,6.995,0.932,1.747,1.398,2.679,0.295,0.223,0.264,0.267,0.826,0.098,0.293,0.275,0.363,0.342,0.295,0.223,0.376,0.192,0.247,0.239,0.01,0.151,0.19,0.205,0.145,0.518,2.332,1.295,0.259,0.777,0.518,0.52,0.52,0.0,0.26,2.039,1.631,3.67,1.495,2.718,3.67,4.829,0
Positive_36,5.83,3.587,3.139,2.84,3.438,5.232,7.324,10.164,5.25,3.23,2.827,4.981,0.262,0.286,0.323,0.336,0.816,0.091,0.341,0.308,0.408,0.33,0.262,0.286,0.41,0.219,0.251,0.213,0.021,0.132,0.225,0.153,0.18,0.299,0.448,2.541,0.149,0.299,0.299,0.0,0.0,0.0,1.05,1.874,1.64,1.483,1.796,3.826,5.309,4.73,1
Positive_172,4.792,6.07,2.875,8.626,7.348,4.473,6.07,3.195,5.862,7.425,3.517,8.988,0.272,0.323,0.259,0.259,0.754,0.134,0.265,0.367,0.355,0.374,0.272,0.323,0.351,0.285,0.208,0.288,0.019,0.218,0.292,0.202,0.224,1.278,1.278,0.639,0.319,2.556,1.917,0.64,0.96,0.32,0.32,3.095,1.466,4.398,3.747,3.095,1.629,5.214,1
Positive_619,5.172,6.897,1.567,3.762,5.486,3.448,3.605,6.583,4.257,5.677,1.29,4.515,0.257,0.315,0.255,0.318,0.768,0.124,0.343,0.345,0.428,0.315,0.257,0.315,0.408,0.272,0.234,0.187,0.028,0.179,0.22,0.151,0.176,0.784,0.47,0.784,0.157,4.075,0.94,0.63,0.0,0.63,0.16,3.465,0.787,1.89,2.756,1.811,3.307,4.989,1
Positive_1222,5.098,4.706,1.176,5.882,3.922,3.922,1.176,5.098,5.699,5.261,1.315,9.206,0.204,0.31,0.192,0.255,0.769,0.129,0.329,0.333,0.388,0.408,0.204,0.31,0.373,0.303,0.236,0.272,0.035,0.185,0.209,0.201,0.169,0.784,1.176,3.137,0.392,0.784,0.784,0.0,1.18,0.0,0.0,2.339,0.584,2.923,1.949,0.584,2.533,5.454,1
Negative_532,0.855,5.983,3.846,0.427,6.41,3.846,5.556,8.12,0.677,4.735,3.044,7.102,0.265,0.338,0.252,0.261,0.739,0.15,0.299,0.359,0.397,0.338,0.265,0.338,0.342,0.253,0.219,0.232,0.064,0.167,0.215,0.185,0.193,0.855,0.855,0.855,0.427,3.846,2.564,0.0,0.0,0.0,0.0,3.001,1.929,0.214,3.215,2.787,4.073,5.226,0
Negative_944,4.406,6.487,1.714,4.162,3.06,3.06,5.753,8.323,4.013,5.908,1.561,4.905,0.226,0.297,0.275,0.354,0.783,0.119,0.353,0.322,0.435,0.339,0.226,0.297,0.41,0.261,0.248,0.199,0.017,0.191,0.206,0.158,0.173,0.612,0.49,1.102,0.122,0.367,1.102,0.49,0.12,0.0,0.49,3.272,0.864,2.099,1.543,2.902,4.198,4.938,0
Negative_1007,6.495,3.498,2.355,3.569,5.282,2.641,6.138,9.993,6.321,3.404,2.292,5.141,0.213,0.3,0.305,0.324,0.826,0.088,0.362,0.337,0.42,0.367,0.213,0.3,0.428,0.242,0.245,0.218,0.017,0.137,0.219,0.157,0.172,0.286,0.286,0.286,0.071,1.428,0.428,0.0,0.29,0.14,1.14,1.92,1.293,1.959,2.9,3.37,5.486,4.521,0
Negative_820,2.559,3.412,2.985,3.412,4.051,4.904,5.757,8.529,1.664,2.219,1.941,1.941,0.237,0.203,0.264,0.273,0.846,0.064,0.373,0.22,0.437,0.326,0.237,0.203,0.42,0.212,0.259,0.241,0.013,0.107,0.154,0.145,0.141,0.426,0.853,1.706,0.213,1.066,0.426,0.0,0.64,0.0,0.64,1.8,1.574,1.8,2.137,3.036,4.499,4.581,0
Negative_469,2.723,2.723,3.218,5.693,2.228,3.96,5.941,8.416,1.72,1.72,2.033,2.502,0.215,0.193,0.282,0.28,0.864,0.067,0.384,0.215,0.443,0.342,0.215,0.193,0.433,0.189,0.285,0.256,0.01,0.119,0.151,0.159,0.139,0.99,0.495,1.98,0.248,3.713,1.485,0.25,0.0,0.0,0.5,1.464,1.73,3.061,1.198,3.194,4.525,4.624,0
Negative_1082,4.444,3.333,7.778,6.667,5.556,5.556,2.222,4.444,7.749,5.812,13.562,15.5,0.256,0.3,0.178,0.2,0.789,0.122,0.233,0.333,0.344,0.4,0.256,0.3,0.278,0.292,0.101,0.281,0.034,0.213,0.225,0.236,0.202,3.333,8.889,12.222,1.111,2.222,3.333,0.0,0.0,0.0,0.0,1.676,3.911,3.352,2.794,1.117,2.235,5.051,0
Positive_849,2.308,5.192,0.962,2.115,3.462,5.385,7.115,5.385,1.893,4.257,0.789,3.784,0.29,0.3,0.229,0.29,0.771,0.098,0.35,0.327,0.412,0.298,0.29,0.3,0.41,0.297,0.218,0.22,0.021,0.16,0.204,0.133,0.177,0.385,0.385,0.385,0.192,4.038,0.385,0.19,0.0,0.0,0.0,2.407,0.446,0.98,1.605,3.298,2.496,5.64,1
Negative_145,0.472,4.245,2.358,2.358,2.83,4.245,4.245,6.132,0.484,4.356,2.42,5.325,0.245,0.245,0.193,0.212,0.783,0.094,0.34,0.269,0.406,0.349,0.245,0.245,0.377,0.256,0.227,0.246,0.028,0.152,0.204,0.209,0.166,0.943,1.415,1.415,0.472,0.943,0.943,0.0,0.0,0.0,0.47,2.016,1.12,1.12,1.344,2.016,2.912,6.041,0
Negative_509,1.625,4.984,3.142,3.359,1.733,3.575,3.467,6.934,1.976,6.06,3.82,7.509,0.179,0.274,0.213,0.269,0.806,0.112,0.348,0.295,0.429,0.392,0.179,0.274,0.378,0.289,0.231,0.243,0.014,0.177,0.226,0.14,0.209,0.433,0.433,0.433,0.108,0.217,0.433,0.11,0.0,0.11,0.33,2.557,1.612,1.723,0.889,1.779,3.557,5.004,0
Negative_1236,1.469,2.755,1.469,3.03,2.388,5.785,7.438,6.795,0.849,1.592,0.849,2.283,0.221,0.197,0.258,0.259,0.861,0.067,0.377,0.227,0.42,0.359,0.221,0.197,0.424,0.196,0.262,0.238,0.007,0.107,0.165,0.157,0.138,0.184,0.367,0.551,0.092,3.122,0.184,0.0,0.46,0.18,0.18,1.479,0.789,1.627,1.282,3.993,3.648,4.619,0
Negative_231,0.448,4.036,1.794,7.175,1.794,8.52,6.726,7.175,0.192,1.731,0.769,1.346,0.247,0.179,0.256,0.251,0.87,0.072,0.377,0.211,0.435,0.318,0.247,0.179,0.435,0.158,0.275,0.266,0.032,0.104,0.131,0.135,0.104,0.897,0.897,7.175,0.448,2.691,0.897,0.0,0.45,0.0,0.0,2.183,0.97,3.88,0.97,3.637,3.88,4.231,0
Negative_1151,1.156,1.734,3.468,6.936,0.578,9.249,1.734,8.671,0.461,0.692,1.384,0.231,0.341,0.133,0.295,0.22,0.902,0.023,0.347,0.156,0.399,0.26,0.341,0.133,0.422,0.116,0.349,0.36,0.0,0.047,0.122,0.163,0.087,5.202,2.312,1.156,0.578,15.029,5.202,0.0,0.58,0.0,0.0,0.885,1.77,3.54,0.295,0.885,4.426,5.267,0
Positive_246,4.545,6.477,0.341,8.636,4.886,1.932,3.068,6.591,4.504,6.419,0.338,9.235,0.208,0.355,0.217,0.272,0.722,0.158,0.293,0.372,0.361,0.431,0.208,0.355,0.338,0.323,0.203,0.254,0.034,0.204,0.255,0.185,0.22,0.568,0.568,0.227,0.114,0.341,0.568,0.68,0.91,0.8,0.0,3.178,0.167,4.237,2.397,1.505,3.234,5.083,1
Negative_160,2.903,5.048,2.314,4.796,3.197,4.544,7.236,10.223,1.579,2.745,1.258,3.134,0.228,0.268,0.288,0.324,0.796,0.108,0.353,0.295,0.427,0.345,0.228,0.268,0.402,0.229,0.234,0.185,0.018,0.165,0.19,0.16,0.166,0.126,0.294,0.799,0.042,0.084,0.126,0.17,0.46,0.13,0.84,2.675,1.226,2.541,1.694,3.834,5.417,4.795,0
Positive_1097,4.192,9.132,0.449,5.539,13.174,2.994,3.293,5.539,2.961,6.451,0.317,4.336,0.257,0.388,0.22,0.299,0.699,0.153,0.299,0.397,0.395,0.347,0.257,0.388,0.344,0.277,0.181,0.213,0.058,0.187,0.234,0.192,0.199,0.299,0.299,0.749,0.15,3.743,0.299,0.6,0.6,0.3,0.3,4.656,0.229,2.824,6.717,1.679,2.824,4.928,1
Negative_146,2.586,6.034,2.586,3.448,2.586,6.034,12.069,11.207,1.829,4.267,1.829,4.267,0.207,0.224,0.328,0.44,0.828,0.121,0.405,0.25,0.491,0.302,0.207,0.224,0.448,0.191,0.252,0.104,0.026,0.217,0.165,0.087,0.157,5.172,1.724,6.034,0.862,4.31,5.172,0.0,0.0,0.0,3.48,3.262,1.398,1.864,1.398,6.525,6.059,4.233,0
Negative_961,2.95,5.015,2.95,2.065,4.13,4.425,6.785,10.029,2.144,3.645,2.144,2.144,0.254,0.227,0.342,0.381,0.838,0.08,0.428,0.245,0.507,0.239,0.254,0.227,0.525,0.163,0.275,0.192,0.012,0.142,0.192,0.133,0.127,1.475,0.59,1.475,0.295,9.735,4.13,0.3,0.59,0.0,0.59,2.626,1.545,1.081,2.162,3.553,5.251,4.718,0
Negative_301,1.562,0.0,6.25,3.125,6.25,3.125,7.812,12.5,1.659,0.0,6.638,1.659,0.266,0.297,0.312,0.266,0.797,0.016,0.359,0.312,0.422,0.312,0.266,0.297,0.375,0.349,0.222,0.27,0.0,0.032,0.286,0.175,0.27,4.688,6.25,7.812,1.562,56.25,4.688,0.0,0.0,0.0,1.59,0.0,3.066,1.533,3.066,3.833,6.132,4.594,0
Negative_798,5.0,1.667,7.778,3.889,6.111,1.667,6.111,5.0,1.275,0.425,1.984,2.267,0.256,0.339,0.206,0.233,0.728,0.106,0.306,0.344,0.4,0.344,0.256,0.339,0.333,0.19,0.156,0.201,0.045,0.101,0.162,0.145,0.151,1.667,1.111,2.778,0.556,18.889,2.778,0.0,0.56,0.0,0.0,0.88,4.105,2.053,3.225,3.225,2.639,4.325,0
Negative_20,4.132,0.826,3.306,3.306,1.653,3.306,12.397,8.264,2.791,0.558,2.233,1.674,0.182,0.182,0.355,0.306,0.909,0.033,0.438,0.19,0.479,0.339,0.182,0.182,0.455,0.142,0.333,0.267,0.008,0.058,0.1,0.117,0.092,1.653,1.653,1.653,0.826,34.711,1.653,0.0,0.0,0.0,0.83,0.477,1.91,1.91,0.955,7.162,4.775,4.636,0
Negative_1288,4.072,4.525,4.977,4.525,11.765,4.525,5.43,12.217,3.173,3.526,3.878,3.878,0.299,0.344,0.294,0.321,0.733,0.095,0.344,0.371,0.439,0.262,0.299,0.344,0.394,0.236,0.195,0.209,0.018,0.155,0.2,0.168,0.164,3.167,0.905,0.905,0.452,6.335,5.882,0.45,0.0,0.45,0.45,2.282,2.51,2.282,5.934,2.739,6.162,4.895,0
Negative_1090,0.877,1.754,3.509,0.0,3.509,4.386,11.404,9.649,0.617,1.233,2.468,4.318,0.219,0.219,0.307,0.368,0.833,0.079,0.474,0.263,0.526,0.254,0.219,0.219,0.518,0.195,0.327,0.168,0.009,0.133,0.124,0.106,0.088,1.754,1.754,1.754,0.877,6.14,1.754,0.0,0.0,0.0,0.88,0.936,1.873,0.0,1.873,6.086,5.149,4.603,0
Negative_1111,0.0,6.667,0.952,2.857,0.0,8.571,6.667,7.619,0.0,5.681,0.811,5.681,0.305,0.276,0.257,0.324,0.771,0.133,0.352,0.314,0.429,0.267,0.305,0.276,0.41,0.202,0.202,0.298,0.0,0.144,0.212,0.154,0.154,3.81,2.857,4.762,0.952,26.667,3.81,0.0,0.0,0.0,0.96,3.072,0.439,1.317,0.0,3.072,3.511,5.634,0
Negative_1008,1.617,2.695,2.965,3.235,1.078,3.774,7.008,9.434,0.861,1.435,1.578,1.578,0.226,0.186,0.28,0.272,0.854,0.057,0.402,0.21,0.458,0.315,0.226,0.186,0.445,0.165,0.289,0.254,0.019,0.089,0.114,0.127,0.089,0.539,0.539,1.617,0.27,7.008,0.539,0.0,0.54,0.0,1.35,1.398,1.538,1.678,0.559,3.635,4.893,4.8,0
Positive_543,1.053,8.421,1.053,4.211,10.526,6.316,1.053,7.368,0.755,6.039,0.755,6.039,0.253,0.326,0.221,0.263,0.716,0.168,0.316,0.337,0.411,0.337,0.253,0.326,0.347,0.34,0.213,0.245,0.085,0.255,0.255,0.191,0.223,3.158,4.211,2.105,1.053,3.158,3.158,0.0,0.0,1.06,0.0,4.36,0.545,2.18,5.45,0.545,3.815,5.074,1
Positive_1164,5.859,4.688,0.0,7.031,6.641,3.516,1.953,6.641,5.58,4.465,0.0,7.812,0.219,0.332,0.199,0.281,0.762,0.129,0.305,0.352,0.352,0.43,0.219,0.332,0.359,0.325,0.2,0.231,0.031,0.196,0.267,0.18,0.227,0.781,0.781,3.125,0.391,1.953,0.781,0.39,1.18,0.78,0.0,2.383,0.0,3.573,3.375,0.993,3.375,4.932,1
Negative_155,4.474,6.676,7.158,3.854,2.753,2.615,2.478,8.741,4.521,6.747,7.234,5.425,0.209,0.281,0.218,0.329,0.795,0.12,0.322,0.318,0.46,0.331,0.209,0.281,0.37,0.304,0.243,0.205,0.014,0.189,0.246,0.148,0.215,0.206,0.206,0.551,0.069,0.757,0.206,0.21,0.14,0.07,0.28,3.353,3.595,1.935,1.383,1.244,4.39,4.836,0
Positive_782,4.937,4.557,1.646,5.949,6.076,5.949,4.43,5.823,2.89,2.667,0.963,4.594,0.271,0.316,0.243,0.238,0.762,0.124,0.27,0.338,0.332,0.397,0.271,0.316,0.32,0.247,0.19,0.276,0.023,0.185,0.234,0.18,0.204,0.633,0.38,1.139,0.127,0.886,0.886,0.38,0.63,0.13,0.51,2.358,0.852,3.078,3.144,2.292,3.013,4.787,1
Negative_948,3.478,4.348,4.348,0.0,4.348,4.348,10.435,10.435,5.439,6.799,6.799,6.799,0.2,0.287,0.261,0.365,0.809,0.087,0.391,0.296,0.478,0.322,0.2,0.287,0.409,0.316,0.184,0.237,0.018,0.14,0.219,0.14,0.219,3.478,6.957,6.957,0.87,8.696,8.696,0.0,0.0,0.0,3.51,2.252,2.252,0.0,2.252,5.405,5.405,4.128,0
Negative_1308,3.217,4.558,2.145,6.166,6.166,4.021,5.362,7.775,3.506,4.968,2.338,4.676,0.231,0.282,0.249,0.308,0.788,0.088,0.33,0.295,0.397,0.373,0.231,0.282,0.373,0.301,0.247,0.228,0.011,0.145,0.237,0.191,0.226,1.072,0.536,0.804,0.268,10.456,1.072,0.27,0.0,0.27,0.27,2.302,1.083,3.114,3.114,2.708,3.927,5.213,0
Negative_817,2.564,0.855,3.419,3.419,13.675,0.855,3.419,6.838,2.141,0.714,2.855,1.427,0.359,0.368,0.231,0.197,0.701,0.026,0.299,0.376,0.342,0.299,0.359,0.368,0.35,0.31,0.19,0.319,0.017,0.017,0.216,0.267,0.19,1.709,1.709,1.709,0.855,76.068,1.709,0.0,0.0,0.0,0.0,0.383,1.532,1.532,6.127,1.532,3.064,5.643,0
Positive_1163,0.617,3.704,0.0,5.864,3.086,2.469,6.481,1.852,0.567,3.401,0.0,10.203,0.222,0.309,0.204,0.216,0.719,0.148,0.327,0.333,0.364,0.414,0.222,0.309,0.377,0.285,0.192,0.229,0.034,0.189,0.238,0.189,0.207,0.617,1.235,3.086,0.309,0.617,0.617,0.62,0.31,0.31,0.0,1.745,0.0,2.763,1.454,3.054,0.873,5.612,1
Negative_1183,3.2,6.0,14.4,3.6,6.4,1.6,8.4,11.2,2.015,3.778,9.068,3.023,0.252,0.296,0.304,0.32,0.744,0.108,0.276,0.304,0.48,0.268,0.252,0.296,0.348,0.249,0.229,0.201,0.048,0.137,0.265,0.161,0.233,1.6,0.8,2.4,0.4,3.6,1.6,0.4,0.0,0.4,0.4,3.138,7.531,1.883,3.347,4.393,5.858,4.861,0
Positive_517,5.139,3.472,2.361,6.806,8.194,3.889,4.861,6.806,4.154,2.807,1.909,5.726,0.256,0.304,0.258,0.276,0.775,0.106,0.308,0.322,0.367,0.378,0.256,0.304,0.367,0.267,0.22,0.243,0.019,0.164,0.232,0.203,0.2,0.278,0.694,0.694,0.139,6.389,0.278,0.56,0.56,0.14,0.28,1.799,1.224,3.527,4.246,2.519,3.527,4.763,1
Positive_366,3.22,6.977,1.968,5.903,6.798,3.399,5.188,8.587,2.554,5.533,1.561,4.681,0.284,0.333,0.288,0.288,0.735,0.129,0.279,0.372,0.369,0.347,0.284,0.333,0.358,0.283,0.204,0.265,0.02,0.195,0.274,0.226,0.228,0.716,0.716,1.252,0.179,2.504,0.716,0.72,0.18,0.54,0.54,3.509,0.99,2.969,3.419,2.609,4.319,5.176,1
Positive_541,5.707,4.982,2.446,6.25,6.522,6.341,2.536,6.159,3.908,3.411,1.675,4.59,0.28,0.322,0.22,0.241,0.768,0.117,0.245,0.343,0.32,0.4,0.28,0.322,0.304,0.264,0.193,0.272,0.025,0.178,0.247,0.218,0.214,0.725,0.272,0.272,0.091,1.449,0.725,0.27,0.82,0.09,0.09,2.521,1.238,3.162,3.3,1.283,3.116,5.12,1
Negative_342,5.128,2.564,8.974,3.846,6.41,8.974,7.692,5.128,3.158,1.579,5.526,0.0,0.295,0.218,0.244,0.282,0.872,0.026,0.295,0.244,0.41,0.295,0.295,0.218,0.333,0.208,0.208,0.312,0.013,0.039,0.182,0.182,0.143,2.564,3.846,5.128,1.282,33.333,2.564,0.0,1.3,0.0,1.3,1.375,4.813,2.063,3.438,4.126,2.75,4.487,0
Negative_227,0.69,3.448,0.69,1.379,0.69,3.448,11.034,13.793,0.54,2.697,0.54,3.237,0.186,0.248,0.352,0.372,0.848,0.076,0.51,0.276,0.552,0.262,0.186,0.248,0.545,0.181,0.285,0.139,0.014,0.125,0.056,0.104,0.049,3.448,1.379,1.379,0.69,6.207,3.448,0.0,0.0,0.0,0.69,1.863,0.373,0.745,0.373,5.96,7.451,4.294,0
Positive_11,6.183,5.117,4.691,8.316,4.691,2.772,4.478,10.235,5.96,4.932,4.521,4.727,0.224,0.29,0.29,0.343,0.8,0.1,0.333,0.309,0.431,0.345,0.224,0.29,0.388,0.209,0.276,0.216,0.028,0.156,0.199,0.171,0.152,0.426,1.493,1.493,0.213,8.742,0.426,0.43,0.64,0.21,0.0,2.615,2.397,4.25,2.397,2.288,5.23,4.942,1
Positive_888,5.457,7.522,0.0,6.637,11.504,2.655,3.245,5.31,4.15,5.72,0.0,5.047,0.237,0.373,0.22,0.294,0.724,0.142,0.319,0.382,0.394,0.369,0.237,0.373,0.367,0.3,0.188,0.22,0.052,0.191,0.23,0.179,0.192,0.442,0.295,2.212,0.147,6.047,0.442,0.44,0.89,0.59,0.3,3.897,0.0,3.439,5.96,1.681,2.751,4.767,1
Negative_933,2.086,5.606,2.477,2.999,3.52,4.172,6.519,9.909,1.54,4.139,1.829,5.968,0.246,0.314,0.283,0.312,0.755,0.137,0.326,0.343,0.407,0.347,0.246,0.314,0.382,0.226,0.197,0.195,0.029,0.183,0.214,0.171,0.172,0.391,0.391,2.477,0.13,2.086,0.391,0.13,0.0,0.13,0.78,2.851,1.26,1.525,1.79,3.315,5.039,5.1,0
