APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,APAAC33,APAAC34,APAAC35,APAAC36,APAAC37,APAAC38,APAAC39,APAAC40,id,label
4.267,3.97,3.497,3.259,1.897,4.859,2.489,4.326,1.778,2.548,7.881,2.489,0.948,2.726,4.386,6.4,2.37,1.363,1.481,2.963,2.109,3.163,0.758,2.438,3.229,4.185,1.483,2.801,0.329,1.285,-0.461,1.647,2.208,2.702,1.911,2.735,0.231,0.626,-0.231,0.956,Positive_44,1
8.763,5.879,2.552,2.662,1.775,5.436,4.548,8.209,2.107,3.772,8.985,2.33,0.665,1.996,8.541,6.989,5.657,0.999,1.553,6.878,-1.4,0.903,2.754,2.754,-1.445,-0.135,0.632,0.09,0.813,-0.0,0.316,-0.451,-2.709,-0.722,1.716,2.122,0.948,0.587,1.58,1.354,Negative_142,0
4.347,5.434,6.125,2.964,2.075,4.742,3.656,5.731,1.185,6.224,8.299,4.446,2.273,2.766,2.964,4.545,5.928,2.766,2.173,5.533,0.926,1.347,0.968,0.842,1.81,2.273,3.03,2.609,-2.525,0.673,-1.557,-0.8,4.966,3.998,-0.168,1.894,-3.704,-2.357,1.515,0.084,Positive_120,1
6.543,5.276,1.478,4.854,9.709,2.955,3.378,9.287,2.744,1.267,7.176,1.267,1.055,2.111,7.81,3.166,3.589,0.844,1.055,5.276,1.698,1.334,-0.283,0.081,2.91,0.485,4.042,4.487,0.849,2.264,-0.202,-0.283,2.506,1.738,-2.829,-1.819,2.102,0.445,0.323,-0.687,Negative_57,0
0.0,3.38,0.845,1.69,0.0,4.648,2.112,2.535,2.535,2.958,4.225,5.916,2.535,2.535,5.493,2.112,2.112,1.69,2.535,4.225,5.273,5.219,-2.839,-4.651,-1.595,-0.541,0.676,2.785,4.651,1.028,4.462,2.785,4.354,6.003,2.488,3.651,1.379,2.299,3.84,4.651,Positive_35,1
4.484,2.208,2.409,4.149,0.937,5.019,2.276,4.752,1.272,3.213,6.024,8.433,1.673,2.008,2.945,5.689,2.811,0.87,2.142,4.551,-1.629,1.357,-1.663,1.391,1.968,3.054,1.459,5.429,-1.629,1.154,1.222,2.579,0.068,3.631,0.984,4.208,1.493,3.258,1.12,2.681,Positive_71,1
3.52,4.928,4.928,3.52,1.408,6.336,2.816,7.041,0.0,6.336,7.041,12.673,2.816,3.52,0.704,5.633,9.857,1.408,1.408,7.041,-0.046,-3.16,-4.786,-1.487,-6.645,-0.093,-4.229,2.416,-4.74,-3.206,4.879,5.112,1.441,6.087,3.578,2.556,2.277,5.065,2.323,-0.279,Positive_201,1
9.771,8.195,4.098,6.934,2.522,10.402,7.249,7.88,4.098,8.195,13.237,3.783,3.468,5.673,9.456,7.564,6.303,1.576,2.837,7.564,3.27,1.177,-3.532,-3.532,-0.916,1.897,-1.635,0.0,0.523,0.654,-6.409,-8.11,-1.7,6.148,-2.616,-3.466,-6.802,-5.886,-0.916,1.046,Positive_46,1
3.977,8.677,3.254,7.592,0.0,8.677,1.807,9.038,1.446,6.507,8.677,8.677,2.531,7.231,3.254,5.423,2.531,0.0,4.339,12.292,-4.555,-0.424,-8.739,-0.742,5.138,2.066,-7.786,-2.225,-1.695,4.131,-5.614,-1.377,5.773,6.674,-6.568,-0.953,-2.648,5.191,4.82,3.602,Positive_104,1
7.898,5.372,5.687,6.318,1.263,5.372,4.424,10.11,1.896,9.479,11.374,6.635,2.211,3.476,6.003,3.791,5.055,0.0,3.159,6.635,-0.584,0.372,-4.671,-3.503,-0.372,-0.053,-1.486,0.318,0.372,-2.07,-2.866,-0.955,1.115,1.858,1.805,5.679,-1.964,-2.548,2.972,0.425,Positive_61,1
3.352,1.048,1.048,0.629,2.933,1.676,2.514,4.19,2.095,1.885,8.799,0.629,0.21,3.143,3.143,7.123,2.095,1.885,1.048,4.609,3.243,1.027,2.811,0.027,4.784,3.162,4.054,1.784,2.324,1.162,4.649,3.541,2.892,0.432,2.216,0.027,2.0,2.838,2.054,0.919,Negative_121,0
2.778,4.365,1.191,1.588,0.794,4.63,3.043,2.91,1.058,0.132,2.646,1.323,0.794,0.661,2.513,3.307,1.852,0.529,0.529,1.191,3.292,4.313,5.127,3.651,3.878,3.197,4.578,5.051,2.138,3.519,2.043,2.743,4.748,4.862,0.284,1.154,2.062,3.216,1.286,1.022,Negative_138,0
4.261,2.556,0.0,0.0,0.852,0.852,2.556,9.373,0.0,2.556,4.261,0.852,0.852,3.408,26.416,1.704,1.704,1.704,2.556,0.852,3.601,2.255,3.669,1.649,8.583,2.794,3.501,0.135,3.4,3.635,2.928,1.919,-0.539,0.404,0.067,-1.885,0.673,-2.322,-0.572,-1.212,Negative_158,0
3.161,4.29,2.935,3.613,1.807,5.193,4.967,4.742,4.064,4.516,10.838,3.613,1.581,4.29,6.096,12.419,6.096,1.581,2.71,5.871,-0.519,1.133,-1.133,0.236,4.578,2.69,1.557,0.944,2.454,1.888,-0.613,-2.312,-1.321,0.613,-3.351,-0.378,-0.142,0.236,-1.227,0.283,Negative_173,0
3.881,4.338,3.425,5.252,2.74,5.48,4.11,7.421,2.055,4.338,6.622,6.051,1.37,2.398,4.68,6.393,4.909,1.485,3.767,6.508,1.57,3.489,2.006,1.788,3.096,2.268,-2.137,-1.701,0.218,1.221,-2.486,-0.0,-1.701,-0.174,-0.087,1.744,1.221,3.925,-0.174,-1.308,Positive_70,1
8.388,5.948,0.762,2.745,1.677,3.051,3.66,5.49,1.83,1.373,6.558,2.288,1.373,1.373,7.168,9.303,4.118,0.305,0.458,3.508,-0.143,0.178,3.176,2.926,2.605,2.248,2.498,2.391,-1.356,0.5,-0.178,0.749,3.747,2.748,1.499,2.819,-1.32,0.964,0.607,1.963,Negative_110,0
3.312,0.368,2.208,0.368,1.104,0.736,0.368,1.472,1.104,2.576,8.463,0.0,3.68,1.104,0.736,2.944,1.84,0.0,1.472,2.208,4.219,1.479,4.814,2.344,4.436,1.316,3.642,2.236,5.337,2.921,5.572,3.065,2.705,0.325,3.895,2.128,4.508,1.875,4.291,2.831,Positive_22,1
9.391,3.756,1.056,3.639,0.469,5.4,0.587,4.813,2.231,3.287,4.461,1.526,1.056,1.291,8.921,15.613,10.565,0.352,0.235,4.578,-0.125,2.039,-0.125,2.081,2.122,2.081,-1.207,0.499,0.166,1.207,-2.122,1.873,0.666,-0.291,0.291,0.333,-0.166,1.831,2.414,3.204,Negative_180,0
10.304,7.102,1.671,3.063,3.342,5.43,4.734,6.266,1.949,2.227,7.936,5.291,1.392,2.785,7.241,8.354,4.873,0.975,3.063,5.987,0.423,2.679,-1.786,-0.094,-0.188,1.88,1.222,4.464,-0.611,1.363,-3.9,-2.82,-1.41,-0.564,4.558,4.605,-2.82,-0.376,-0.705,0.094,Negative_4,0
5.395,5.068,2.942,4.332,1.144,6.866,4.414,4.904,2.207,4.74,8.174,5.15,2.779,2.452,5.64,6.621,4.169,1.144,3.106,4.74,-1.677,0.817,-3.009,-0.645,1.806,1.978,-0.172,0.86,-0.129,-0.473,1.419,1.247,3.224,2.88,0.172,2.064,-0.129,3.052,-0.473,1.204,Positive_153,1
9.669,4.561,5.838,5.108,0.912,5.291,2.737,8.94,2.007,5.108,6.75,3.649,2.189,3.831,8.757,4.379,9.123,3.467,3.101,6.933,-3.429,-3.838,1.842,-3.019,1.075,-2.303,2.61,0.563,2.661,2.201,-0.768,-0.819,1.331,0.051,0.563,0.358,-1.024,-3.736,1.894,1.433,Positive_111,1
8.049,2.146,3.756,3.756,2.951,6.707,4.293,9.658,2.146,6.707,8.317,6.707,2.415,4.024,4.024,3.488,4.024,0.537,1.342,8.585,-0.843,-0.234,-5.29,-7.912,2.575,2.434,1.639,0.983,-2.06,-1.873,3.699,1.264,0.655,-1.451,-0.562,-2.809,4.073,1.264,5.993,4.822,Positive_15,1
4.29,4.347,1.92,2.823,1.016,5.758,2.258,4.29,1.185,2.371,6.436,2.992,0.96,1.92,5.984,6.153,3.161,1.073,0.734,2.653,2.306,4.269,0.779,2.431,1.745,3.21,-0.125,1.34,0.873,2.4,1.745,2.431,2.431,3.926,1.62,2.805,0.841,1.34,-0.436,1.745,Positive_210,1
7.751,4.513,2.256,3.63,3.434,3.532,3.532,5.69,2.158,3.237,9.124,3.335,1.472,3.139,3.532,8.045,4.219,1.079,1.962,5.494,1.176,0.974,2.312,1.947,1.014,-0.933,-1.258,-1.744,2.312,0.568,-2.353,-2.799,-0.568,-0.487,4.057,3.083,3.408,3.813,2.394,1.947,Negative_223,0
8.161,1.484,1.484,1.484,3.709,2.225,2.225,0.0,1.484,1.484,10.386,5.935,1.484,2.225,2.967,5.193,1.484,1.484,0.742,5.935,-1.262,-0.308,6.743,1.817,-5.018,-6.158,5.603,2.525,7.05,4.249,4.464,4.803,4.249,2.586,-4.618,-5.511,10.283,7.451,-0.062,-0.462,Negative_137,0
5.427,7.463,1.696,5.427,0.678,5.766,1.017,3.731,1.696,4.409,6.445,3.731,2.035,3.392,2.714,4.07,3.731,0.0,4.409,7.123,3.373,3.486,-1.724,2.024,-1.237,0.675,4.723,7.234,0.037,0.037,6.522,7.346,0.037,1.049,-5.097,2.736,0.937,-0.75,-4.798,-1.574,Positive_101,1
5.528,1.843,0.921,1.535,1.843,3.378,2.457,4.913,1.535,3.378,6.756,2.457,2.764,1.228,4.606,4.299,2.457,0.0,2.149,6.449,4.114,0.514,3.63,1.664,-0.605,-1.754,3.206,2.45,2.753,1.361,2.934,0.454,3.872,2.783,1.633,0.484,2.964,2.148,3.206,1.694,Negative_134,0
4.499,4.875,3.563,2.063,1.312,5.812,5.062,3.563,2.25,2.625,8.062,5.999,0.75,2.437,5.624,6.187,3.187,0.75,2.25,4.687,1.964,1.473,-3.4,-0.151,1.587,1.964,2.304,2.38,2.418,2.758,0.831,0.416,-2.418,-1.322,-2.607,-0.264,1.776,4.42,4.722,5.591,Positive_39,1
11.044,7.73,0.632,2.998,1.735,5.995,3.629,11.517,2.209,1.735,10.255,1.735,1.42,1.104,7.1,5.995,5.206,1.577,3.313,9.781,-2.901,-1.209,2.95,2.466,-2.273,-2.611,-0.242,-1.209,4.545,3.095,-7.012,-3.723,2.031,0.677,1.983,1.596,1.644,-1.015,2.273,2.224,Negative_53,0
10.004,6.003,4.001,6.003,2.001,12.004,9.004,4.001,3.001,3.001,16.007,5.001,4.001,9.004,14.006,16.007,3.001,5.001,2.001,7.003,1.611,1.961,-9.454,-10.994,1.401,8.613,5.042,9.384,-5.952,-5.742,-6.162,-4.622,-0.0,-6.092,7.003,4.342,-7.143,-1.471,-10.434,-11.345,Negative_200,0
12.44,6.49,3.246,4.868,0.541,5.95,3.246,7.573,3.786,4.327,10.817,3.246,5.95,2.704,7.031,5.409,5.95,1.082,2.163,9.736,1.119,-2.291,-8.045,-5.807,1.332,-2.557,-2.238,-0.959,-4.742,-3.889,1.492,0.799,1.705,2.77,3.037,1.385,1.279,0.426,7.405,1.225,Positive_144,1
7.786,6.024,0.734,0.882,1.322,2.644,2.35,4.114,0.734,0.441,6.758,1.469,1.028,0.882,7.492,5.289,3.085,1.469,0.734,2.498,6.467,4.965,5.283,3.176,5.11,1.876,2.829,1.501,1.501,1.386,0.577,0.318,1.761,2.454,1.761,1.328,1.126,0.866,-1.53,-0.491,Negative_116,0
3.24,3.163,0.154,1.157,0.231,3.086,0.926,1.697,0.231,0.077,1.697,1.697,0.231,0.154,3.703,1.852,0.771,0.463,0.0,1.003,1.839,4.763,3.052,4.443,1.813,3.971,2.656,4.635,3.103,4.507,4.686,5.158,2.669,4.507,3.588,4.277,3.601,4.073,2.107,5.018,Negative_111,0
2.919,4.636,5.151,4.293,2.404,4.464,2.576,4.636,2.061,5.495,8.242,5.667,2.061,5.838,4.979,4.808,5.324,0.515,1.889,6.182,3.66,2.735,-0.126,-1.851,2.861,5.301,2.987,2.987,-0.505,-0.294,2.566,3.029,1.43,1.515,-1.683,-0.084,-2.608,-2.482,-2.819,-0.757,Positive_125,1
4.662,4.144,1.554,2.072,2.59,4.144,2.072,5.18,2.59,2.59,5.18,3.108,1.036,1.036,5.698,3.626,2.59,0.518,3.626,3.108,11.4,8.191,3.148,0.856,-0.581,-1.864,2.965,0.458,3.698,1.467,-1.345,-2.934,-0.795,-0.336,0.367,0.947,3.454,2.567,3.209,4.004,Negative_22,0
6.291,5.701,0.295,1.474,3.539,4.915,1.573,5.013,3.637,0.197,3.735,3.637,0.885,2.359,5.603,5.013,2.654,0.197,1.18,2.949,1.217,1.886,-2.16,-1.886,4.29,4.35,2.86,2.343,-2.556,-0.122,5.081,5.081,0.487,2.403,-4.138,-1.795,7.545,6.784,3.225,4.259,Negative_107,0
13.115,8.14,0.904,5.879,0.0,5.426,1.356,4.974,2.262,5.426,8.14,0.452,2.262,1.356,5.879,4.974,4.974,0.904,3.166,5.879,6.581,2.35,-6.453,-5.043,-2.094,0.128,8.034,7.65,6.795,1.624,-7.906,-5.256,-1.88,-0.769,3.504,7.521,-0.983,-1.453,1.624,0.556,Positive_206,1
14.542,4.705,3.421,6.416,2.138,8.982,5.56,11.976,2.138,6.843,8.126,8.554,1.711,4.278,4.705,6.416,6.416,2.566,2.138,10.692,2.569,1.407,1.774,-1.774,-4.648,-0.122,-0.122,2.936,-3.364,-1.713,-1.529,-1.346,2.875,2.936,-4.709,-2.08,-1.59,-2.446,-7.034,-4.343,Positive_197,1
6.862,6.862,4.288,6.862,2.574,11.151,4.288,12.866,3.432,8.578,9.435,8.578,4.288,6.862,5.146,6.004,4.288,2.574,3.432,12.009,-1.825,2.412,-12.842,-6.975,-2.868,-1.63,-2.477,-3.129,-4.759,0.196,-6.323,-7.106,3.781,5.737,4.954,11.147,-0.717,2.803,-3.716,-7.04,Positive_155,1
6.364,4.347,4.502,4.657,2.018,6.054,3.725,6.83,2.173,5.123,8.383,6.52,2.794,4.657,3.57,5.744,5.433,1.397,2.95,4.967,1.06,0.277,0.645,1.199,1.982,2.351,0.461,0.231,-5.855,-5.21,-1.429,-0.692,1.66,2.951,0.369,-0.092,0.553,0.876,2.167,4.288,Positive_37,1
10.06,8.622,6.14,8.361,2.09,8.1,7.577,9.276,4.441,5.096,12.542,2.613,3.136,4.965,8.1,7.838,7.316,5.096,4.049,8.361,-5.418,-3.679,-1.739,-2.074,-3.746,-4.95,0.134,-2.14,-5.819,-2.742,0.201,-0.401,-1.003,-1.538,-1.003,2.14,2.475,0.535,-3.077,0.067,Positive_56,1
9.512,4.72,1.307,2.324,2.106,4.647,2.324,6.608,2.324,1.38,5.519,2.614,0.508,1.234,11.981,6.245,3.122,0.363,1.598,2.614,2.301,3.36,1.351,1.68,0.183,1.497,0.438,1.205,1.059,1.936,0.73,2.301,0.037,1.79,1.096,2.63,-0.804,2.374,-0.11,1.899,Negative_196,0
6.44,5.193,0.831,2.7,2.216,4.432,3.393,4.916,1.87,1.038,4.916,3.047,0.346,2.285,6.578,4.916,2.978,0.277,1.524,2.7,2.66,4.413,0.72,2.254,1.941,2.848,1.502,1.972,-1.095,0.438,4.194,4.225,1.628,1.941,-0.469,1.408,1.252,2.504,0.313,2.754,Negative_123,0
7.699,5.949,5.949,8.749,1.75,11.199,8.049,4.549,2.8,9.799,12.947,5.599,3.15,5.949,4.549,9.099,6.999,2.45,5.599,8.749,-1.776,2.5,-5.0,-3.882,-3.026,3.224,-0.658,-1.908,-1.25,-0.395,-6.316,-5.197,2.368,1.645,-2.697,-2.632,-2.829,-0.461,-2.237,-1.053,Positive_165,1
8.333,3.704,2.778,5.093,4.167,8.796,3.241,3.704,6.481,5.093,12.037,8.796,4.63,5.556,5.093,9.722,9.259,1.389,1.852,6.019,-3.183,1.794,0.0,3.067,-2.025,-3.414,-0.926,-0.868,-4.398,-2.373,0.0,0.521,1.62,-1.968,1.042,-0.637,0.231,2.836,-5.787,-1.273,Negative_61,0
8.071,3.17,2.018,5.188,0.288,8.359,1.442,6.918,1.442,6.053,9.512,8.359,1.153,3.747,2.882,1.73,5.765,0.288,0.288,8.071,-0.169,2.288,-4.11,-4.703,3.093,5.847,2.288,4.11,-1.525,1.186,-0.678,0.466,0.72,2.924,2.966,6.483,-2.585,-1.864,-2.246,0.763,Positive_176,1
5.128,3.03,3.963,3.496,1.865,4.895,2.098,6.294,2.331,8.392,9.324,6.993,1.865,2.331,3.729,7.692,5.361,1.865,1.399,6.76,-1.155,-0.488,0.488,1.066,-0.222,-0.4,1.155,1.021,-1.155,1.066,3.153,0.666,2.575,-0.089,-1.199,2.664,-2.575,-1.421,3.996,2.043,Positive_10,1
5.515,4.95,3.818,4.807,1.838,7.635,2.969,7.353,2.404,7.635,8.484,6.787,1.838,4.101,5.373,5.797,6.08,0.424,1.838,8.343,1.568,4.165,-6.124,-2.695,0.196,-0.931,3.626,4.018,-1.029,0.392,-0.196,2.646,2.303,2.744,-5.781,-3.43,-4.312,-1.421,3.332,2.94,Positive_28,1
3.882,4.852,4.464,5.823,1.941,6.017,3.494,5.24,1.941,5.24,9.509,7.957,2.135,3.494,5.24,6.793,3.882,1.941,2.717,5.823,0.785,0.416,-2.818,-2.448,1.293,2.402,2.725,1.709,-0.554,0.878,-1.848,-1.339,0.508,2.079,-4.296,-1.94,1.109,1.109,1.247,6.605,Positive_183,1
9.86,2.876,2.465,5.341,0.0,4.519,2.876,5.751,1.233,6.163,7.806,4.519,1.233,3.287,4.108,6.163,4.519,0.411,2.876,6.573,1.775,-0.083,1.115,-4.253,-4.789,-4.542,0.165,2.849,-2.684,1.404,3.592,3.138,1.61,0.95,5.367,2.89,-0.537,-1.445,4.624,6.276,Positive_109,1
4.452,6.43,4.452,7.419,0.495,8.903,1.484,5.936,1.484,6.43,11.376,9.397,1.484,6.925,5.936,4.946,6.925,0.989,3.956,9.397,-1.959,7.998,1.143,1.306,0.49,-1.741,-4.407,0.163,-6.529,-7.182,-10.065,-9.249,8.487,10.664,-7.018,-0.871,2.448,3.917,1.904,1.687,Positive_80,1
3.599,3.483,1.161,2.206,1.161,3.135,1.509,3.019,1.393,0.464,4.992,1.974,0.929,0.929,3.831,2.322,2.206,0.581,0.348,1.277,4.275,3.16,5.409,2.674,3.93,3.687,3.221,1.783,3.262,3.464,2.451,1.783,2.978,2.37,3.626,3.059,1.783,1.378,2.492,2.694,Negative_98,0
10.067,3.356,1.118,2.237,1.118,2.237,5.313,9.788,2.517,3.635,10.346,3.076,3.635,3.635,3.076,4.195,5.313,1.118,3.915,4.195,0.965,-2.936,0.545,-2.223,2.559,1.3,3.565,0.378,0.336,-1.762,-1.342,-1.72,2.013,-0.545,7.592,3.817,2.433,0.965,-1.133,1.3,Negative_97,0
9.404,11.285,2.821,1.881,1.881,4.702,6.583,9.404,5.643,1.881,15.987,2.821,0.94,6.583,10.345,7.523,5.643,1.881,2.821,5.643,0.81,3.991,1.966,2.082,0.578,0.752,2.718,2.487,-0.752,2.545,-4.627,-6.189,1.793,1.735,-6.825,-1.272,-1.272,-0.752,-6.246,-9.196,Negative_185,0
4.909,5.09,3.09,4.545,2.363,8.0,3.455,5.09,1.818,3.09,8.545,6.363,1.818,5.09,4.182,6.545,4.909,0.727,3.818,5.637,2.895,3.964,-3.831,-0.624,2.361,1.024,0.668,1.96,-3.519,-0.535,-0.089,2.539,1.915,6.013,-4.722,-0.178,-0.49,-1.425,0.223,2.762,Positive_5,1
3.664,3.528,2.036,2.036,2.443,5.292,1.764,2.985,0.543,0.543,7.599,2.171,1.221,2.443,3.935,5.021,2.714,0.543,1.492,3.8,1.422,2.538,1.088,1.339,0.195,2.119,0.697,2.175,3.597,2.984,3.625,2.231,2.956,4.796,1.227,2.147,1.004,3.095,1.785,3.207,Negative_69,0
5.944,8.156,0.415,1.244,4.977,3.179,2.35,5.253,4.977,0.553,4.562,2.765,0.138,2.765,3.594,5.253,3.594,0.0,0.691,2.074,2.843,1.718,0.469,-1.375,2.312,1.718,-1.874,-0.562,-1.843,-0.312,7.123,7.873,3.53,2.968,-2.718,-2.156,7.185,4.624,3.311,2.687,Negative_155,0
8.444,8.444,7.6,3.378,5.911,5.066,6.755,10.133,4.223,6.755,13.512,7.6,5.066,3.378,4.223,16.044,2.534,5.911,7.6,0.845,9.406,2.602,-0.133,-5.27,3.602,1.134,-6.671,-7.805,-12.008,-9.473,0.801,2.535,-7.338,-4.27,-9.54,-6.471,1.668,-3.536,7.872,9.473,Negative_171,0
5.142,3.489,2.938,4.958,1.469,7.161,3.857,4.04,1.653,7.346,9.916,7.713,1.469,2.571,2.754,5.142,3.305,0.183,2.02,4.775,3.276,2.867,-3.726,-2.334,3.522,3.849,1.188,2.048,3.153,3.522,-4.832,-1.556,-3.563,-1.392,2.416,1.188,4.545,4.668,-0.942,0.205,Positive_152,1
6.398,4.54,2.786,5.366,1.754,6.398,2.992,6.81,1.651,5.572,7.533,6.707,2.889,3.611,4.746,4.54,4.231,0.722,2.167,7.12,-1.195,2.213,-2.966,-1.638,1.107,1.948,2.302,4.338,-4.161,-2.213,0.531,-0.31,0.487,1.815,1.328,1.815,-1.771,2.966,1.505,3.364,Positive_205,1
4.643,4.127,11.349,4.127,0.515,3.095,4.643,12.381,2.064,6.706,4.643,4.643,2.579,3.611,3.611,8.77,8.77,3.611,6.706,7.223,-6.415,-5.013,0.593,-4.205,3.127,7.116,3.127,-2.588,-2.965,-2.48,3.127,5.013,-1.078,-1.132,-1.779,0.216,-1.617,-2.102,1.24,0.0,Positive_129,1
11.479,3.827,6.013,5.74,0.547,10.932,2.733,10.112,1.366,9.839,7.926,8.746,1.913,4.099,4.646,5.193,6.286,1.639,4.099,8.473,-3.642,-1.965,-10.347,-9.075,3.526,3.353,2.254,4.913,-0.116,1.272,-7.052,-2.081,-0.231,1.214,3.237,3.179,0.231,-2.428,-2.139,0.289,Positive_60,1
7.437,3.153,3.88,2.587,0.646,3.153,8.973,6.629,2.748,1.132,7.276,2.91,2.344,1.94,9.135,10.105,3.476,0.324,1.132,3.153,2.834,1.109,-0.534,0.37,-1.068,1.15,0.534,2.546,0.123,1.027,-0.616,-0.082,0.329,1.191,1.478,1.232,1.725,0.903,2.012,1.602,Negative_222,0
3.303,3.153,1.351,3.002,0.45,3.252,2.652,2.702,0.6,1.351,2.602,2.652,0.851,1.051,1.902,4.003,1.852,0.35,2.102,1.601,3.385,3.976,1.407,3.303,2.977,4.405,0.856,2.61,2.162,3.446,2.896,3.548,3.997,4.792,1.06,2.875,2.182,2.61,2.855,3.874,Negative_8,0
4.55,5.199,2.6,3.9,1.3,0.65,1.3,3.9,0.65,3.25,7.15,4.55,1.95,1.95,4.55,3.25,0.65,1.3,2.6,1.3,4.778,0.679,2.714,0.961,8.001,6.39,5.541,2.912,-0.509,1.64,0.339,-0.283,6.446,3.223,0.792,-1.668,-0.396,2.092,-2.149,1.951,Positive_27,1
7.83,4.101,2.113,4.723,1.616,5.717,3.977,8.451,1.119,5.717,9.322,8.824,2.361,3.853,4.101,5.966,4.723,0.124,2.237,7.954,1.802,2.798,-5.405,-4.742,1.612,2.371,1.138,2.845,-1.991,-1.991,-0.379,-0.0,2.229,2.845,3.793,4.22,-2.323,-0.664,-1.233,-1.754,Positive_21,1
5.425,3.875,3.1,0.775,2.325,13.95,2.325,10.075,0.0,6.975,6.201,3.1,0.775,3.1,7.75,6.201,3.875,0.0,3.1,6.201,-4.278,-5.303,-1.693,-0.178,-0.891,0.267,-1.872,2.094,-8.244,-1.56,-0.401,0.267,-0.045,0.936,4.991,2.674,8.155,6.907,3.431,5.615,Negative_50,0
