APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,APAAC33,APAAC34,APAAC35,APAAC36,APAAC37,APAAC38,APAAC39,APAAC40,id,label
9.905,8.08,3.388,7.82,0.0,6.256,4.692,7.038,3.128,3.65,8.602,2.867,2.606,5.995,5.735,3.128,7.038,1.303,6.517,6.256,-4.576,-3.848,-1.664,-1.04,-6.344,-3.016,1.82,0.52,-1.404,-2.236,-1.04,-0.884,4.368,3.796,5.044,4.628,1.144,3.068,-1.872,-0.468,Positive_764,1
4.655,5.486,1.829,4.156,3.657,3.989,3.324,5.153,1.496,1.33,5.818,2.161,1.164,1.829,5.818,10.473,3.158,1.33,0.499,2.826,4.244,3.227,-1.719,-0.842,-0.877,1.403,-2.315,-0.07,-1.122,1.017,1.649,4.069,0.877,2.876,0.596,2.315,4.56,3.858,2.455,3.648,Negative_1178,0
2.946,2.665,2.455,2.174,1.332,2.946,1.824,2.946,0.982,2.245,5.47,2.245,0.912,2.034,2.455,6.312,3.647,0.701,1.683,3.297,4.178,3.025,2.487,2.435,3.461,3.153,2.64,2.128,2.563,2.922,1.077,1.666,2.076,2.333,1.256,1.307,1.23,1.846,3.563,3.384,Negative_471,0
5.763,3.89,5.187,3.746,3.17,5.475,3.89,5.475,2.449,5.763,8.933,3.746,2.738,4.323,5.475,6.483,5.331,2.018,4.178,4.178,2.121,1.107,-1.844,-2.397,1.66,0.138,0.738,1.383,0.046,-1.383,-0.599,-2.305,-1.844,-0.968,2.167,2.536,2.351,1.383,1.89,1.614,Positive_2,1
6.75,4.75,3.501,5.251,1.0,9.0,3.0,3.501,1.0,5.501,7.251,5.501,2.5,7.751,3.251,5.751,2.75,1.5,2.5,5.751,5.66,5.924,-2.238,-0.439,-3.51,-3.203,1.316,2.72,2.238,3.247,0.395,-0.219,-0.483,0.263,0.658,0.878,-1.667,0.746,-1.316,1.272,Positive_821,1
12.423,2.07,0.0,2.761,1.38,3.451,4.831,7.592,0.69,0.0,6.211,0.69,0.0,1.38,15.184,11.733,4.141,2.07,2.761,6.211,2.482,1.027,0.899,0.086,3.552,2.953,1.626,-1.198,-0.214,1.369,3.338,0.599,1.54,-0.342,0.556,1.113,0.599,-1.797,-1.326,-2.439,Negative_68,0
4.863,4.214,3.404,4.538,0.81,5.511,3.08,5.025,2.431,4.538,8.591,5.349,3.08,4.538,5.025,5.187,4.863,1.134,4.863,5.349,4.017,2.505,-0.691,-1.512,2.462,3.629,3.542,3.672,0.648,0.389,-1.685,-2.203,-0.432,-0.173,-0.259,0.302,1.728,0.13,-0.346,-2.117,Positive_372,1
7.424,5.996,1.285,2.427,1.428,3.427,2.998,5.568,1.999,1.428,6.139,1.571,0.428,1.856,7.567,5.425,1.856,0.571,1.285,1.999,3.416,4.168,1.065,2.194,2.726,3.886,1.097,1.943,1.379,1.16,1.598,2.068,2.476,3.165,-0.815,0.219,-0.094,1.254,1.598,2.82,Negative_1171,0
3.599,2.519,1.08,1.8,1.8,1.44,2.159,3.599,0.72,2.879,9.358,1.08,2.519,3.599,2.519,5.039,2.519,1.8,2.159,3.959,2.499,2.246,3.144,2.723,3.032,0.983,5.278,2.33,3.425,2.162,2.723,2.499,1.095,3.032,-2.19,-1.348,1.011,1.572,3.874,3.762,Negative_923,0
1.06,3.181,1.59,2.651,0.53,1.59,0.53,5.832,0.0,2.121,3.711,1.59,1.06,2.121,1.59,1.59,1.06,0.0,1.59,1.59,7.418,3.604,6.561,5.703,3.866,0.98,2.012,-0.087,1.347,3.341,2.414,1.714,5.773,5.196,4.111,2.957,1.207,0.752,3.341,2.799,Positive_1122,1
10.545,10.139,2.433,6.489,3.244,5.677,4.055,8.517,3.65,3.244,10.95,2.433,2.839,6.489,6.489,8.517,2.433,0.406,3.244,6.489,-5.035,-2.166,-12.236,-7.742,-1.408,-2.924,6.714,4.006,-2.328,1.029,4.061,2.436,-3.086,-1.299,-1.191,-0.217,6.605,4.71,0.217,1.57,Positive_637,1
2.858,3.001,0.429,1.572,0.715,4.43,4.002,2.286,1.572,1.858,5.574,4.287,0.572,1.429,5.002,4.573,2.572,0.286,0.715,2.429,3.06,4.765,0.502,3.236,3.938,3.963,1.329,3.612,3.461,4.038,2.333,1.605,2.182,4.465,0.251,2.132,2.232,2.734,-0.602,0.602,Negative_222,0
3.866,2.9,4.349,1.45,5.316,2.9,3.383,3.383,0.483,3.383,8.699,4.832,3.383,2.9,3.383,5.799,5.316,0.0,0.967,2.9,1.183,1.775,2.436,-0.696,2.366,1.113,1.009,2.923,-1.287,-0.07,1.67,-1.009,2.018,0.939,1.461,1.392,4.628,3.097,3.549,1.914,Negative_1131,0
7.406,5.349,1.234,1.646,1.234,3.703,2.057,2.469,1.646,2.057,6.994,0.823,1.234,2.88,10.698,4.937,3.703,0.0,0.823,3.291,7.157,5.648,-1.091,-1.059,4.012,0.674,1.733,1.252,6.29,2.728,0.931,1.508,-1.027,-0.257,1.091,-1.701,1.091,2.279,2.92,1.637,Negative_521,0
8.469,5.549,2.92,5.549,1.753,4.965,4.965,10.806,3.796,6.425,15.478,6.133,3.212,2.92,7.302,7.302,4.965,1.461,3.796,6.717,1.66,2.003,-2.519,-3.434,0.343,-0.458,5.037,0.343,-6.983,-9.33,-3.377,-3.32,1.488,0.572,0.401,2.061,-3.606,-1.088,2.633,3.091,Positive_228,1
5.364,1.532,6.13,2.682,1.916,4.98,2.682,3.448,0.766,4.214,8.429,4.214,1.916,3.065,4.597,3.065,4.214,1.532,2.682,4.98,-5.214,-4.236,2.353,3.186,3.403,3.584,-1.557,-4.091,2.064,-0.398,3.367,0.579,5.757,4.49,-3.186,-1.955,5.105,5.105,4.634,4.598,Negative_104,0
4.375,4.587,3.105,3.316,1.411,4.304,3.246,4.939,2.47,4.234,9.244,3.035,2.117,3.67,4.728,6.845,4.799,1.693,1.764,4.799,0.905,0.236,0.826,1.141,0.708,0.472,0.747,0.944,-0.865,0.354,0.983,1.456,2.872,1.849,2.99,2.439,1.023,-1.22,1.888,1.574,Positive_353,1
3.948,1.471,1.471,1.704,1.704,1.626,1.006,4.646,0.542,2.632,5.652,1.549,1.471,3.252,2.555,2.632,2.323,1.858,2.477,4.646,3.687,1.794,2.999,1.524,5.015,2.679,3.466,1.401,2.729,1.819,3.564,1.549,2.901,1.524,2.974,1.917,2.999,2.04,2.925,1.327,Positive_1104,1
8.647,6.391,6.391,6.767,3.008,8.647,4.511,5.639,3.008,5.639,13.535,9.775,1.503,4.888,7.143,6.767,3.008,1.128,5.263,9.775,3.218,0.911,-0.425,-3.279,-2.125,2.307,-6.8,-3.764,-2.368,-1.032,-9.35,-1.032,-3.461,0.668,1.943,2.125,4.857,9.229,-4.554,-8.5,Positive_146,1
5.009,3.68,1.227,2.658,1.022,2.556,2.249,3.782,1.84,2.556,6.236,2.556,1.533,1.738,3.782,3.68,3.169,0.818,1.329,4.089,1.332,2.082,1.943,2.748,1.554,1.86,2.831,3.247,2.581,2.22,3.664,1.86,3.691,3.636,0.666,1.304,1.721,2.248,1.527,1.776,Positive_976,1
4.07,4.748,5.087,6.783,2.713,6.783,1.357,5.426,2.713,6.443,6.783,7.461,3.391,5.087,2.374,8.817,5.426,0.678,3.391,4.409,0.611,0.329,-0.892,4.744,2.349,-1.597,0.188,2.208,-3.429,-1.409,-0.517,4.274,2.63,1.033,-4.744,0.611,-0.423,2.63,-2.63,0.094,Positive_530,1
5.864,1.333,0.533,1.519,0.107,3.732,2.186,3.038,0.186,0.4,1.653,4.477,0.373,0.08,3.651,5.41,2.639,0.107,0.107,2.265,1.229,5.83,2.241,5.632,2.062,5.731,1.448,5.513,1.13,4.283,0.516,4.501,1.309,4.501,0.04,3.391,2.439,4.739,0.357,3.45,Negative_935,0
4.144,1.982,0.721,4.504,1.081,5.585,3.603,5.585,0.901,1.982,5.045,1.982,2.162,2.162,5.405,4.324,1.802,1.081,1.621,1.982,2.133,4.122,2.479,3.517,1.874,3.229,1.73,2.479,2.047,4.295,-0.0,1.297,0.951,1.989,1.557,3.747,0.605,0.432,0.951,2.912,Negative_149,0
9.773,7.429,7.429,9.384,2.736,8.21,4.691,6.646,5.082,10.947,16.811,8.992,3.519,5.082,7.82,6.255,5.474,1.172,7.429,5.865,-8.586,-8.304,-8.726,-6.122,4.645,3.237,-2.182,1.126,-5.911,-1.548,0.915,0.985,-7.46,-6.263,-3.73,2.393,2.815,-1.056,0.352,2.674,Positive_1087,1
3.384,2.451,3.501,4.785,2.217,4.785,4.201,5.369,3.618,3.851,4.668,5.952,0.933,2.918,4.552,5.835,6.069,0.817,1.867,3.384,-0.15,1.203,1.278,2.292,1.428,1.766,-0.038,2.142,-3.608,-0.338,0.15,1.127,-0.0,0.188,2.593,4.547,2.969,3.082,2.818,1.39,Negative_563,0
3.461,2.462,5.959,2.783,0.5,3.425,5.245,7.065,1.07,1.926,4.032,3.497,1.534,1.07,5.53,10.597,4.246,2.176,0.642,2.783,0.91,2.03,0.525,1.26,0.77,2.66,1.26,2.03,1.015,1.54,1.785,2.625,0.525,1.4,0.84,1.645,1.82,1.89,1.295,2.17,Negative_966,0
3.709,5.467,2.343,4.686,3.709,6.248,3.709,3.319,3.124,2.539,6.639,7.42,2.539,2.734,11.129,6.053,6.639,0.781,5.272,4.491,-2.638,-2.036,0.185,0.833,0.185,2.221,-1.064,-3.008,-0.602,-0.139,-1.666,1.481,-1.712,1.157,1.527,3.147,-0.925,-1.758,4.396,7.867,Negative_217,0
6.506,6.049,2.968,5.822,3.31,7.191,4.11,8.104,3.082,3.995,12.67,5.822,2.739,4.794,6.962,8.333,5.25,1.369,3.653,4.68,0.591,1.665,-2.095,0.644,-2.739,-1.88,0.591,-0.107,-0.161,-0.644,-3.974,-1.557,-1.665,0.698,1.02,0.967,0.967,0.806,-0.215,-0.322,Negative_97,0
4.075,3.112,2.89,2.667,0.963,4.594,1.704,2.371,1.26,3.482,7.261,3.556,1.926,3.482,2.593,3.408,3.334,0.815,1.704,3.334,3.512,2.458,2.488,0.702,4.361,5.268,3.922,3.395,1.727,1.551,-0.205,-1.317,1.814,3.102,2.224,2.224,1.317,1.288,0.0,1.639,Positive_782,1
8.804,6.804,3.401,5.803,1.8,7.003,5.203,8.204,3.602,3.401,10.004,3.202,1.201,2.601,8.403,7.403,6.003,3.001,3.001,10.205,-5.507,-4.362,1.745,1.799,-2.017,0.273,-2.835,-3.98,2.017,1.799,0.218,0.818,1.254,-1.036,0.327,3.762,-1.472,0.927,-2.181,-0.6,Negative_917,0
4.993,4.993,2.197,4.394,0.999,6.59,2.796,2.796,1.997,3.195,4.593,4.793,1.797,3.395,5.392,7.189,4.593,0.799,1.997,4.194,-0.074,3.206,-2.727,-0.995,2.321,3.5,3.242,5.859,-1.621,-1.916,-1.695,-0.663,3.021,2.432,1.253,3.685,-1.363,2.653,1.253,4.937,Positive_295,1
4.272,4.939,4.406,5.339,1.869,6.808,2.537,4.805,2.27,5.339,7.475,5.339,2.403,3.605,4.139,6.007,4.272,0.935,3.204,5.072,0.85,1.318,0.723,1.701,2.764,2.126,1.02,2.594,-0.383,1.403,-2.041,-1.063,0.978,3.699,-2.211,-1.148,-0.808,0.298,0.638,2.509,Positive_162,1
5.778,4.854,2.311,1.849,1.618,4.391,4.391,3.698,2.08,0.924,8.32,2.773,1.387,2.773,3.467,4.391,1.387,0.924,2.08,3.005,-0.281,1.498,1.31,1.03,2.871,2.527,3.775,3.183,0.156,0.499,1.778,3.089,4.774,2.871,-1.716,0.811,2.995,1.872,2.246,2.309,Negative_1079,0
6.527,3.011,6.024,10.041,2.51,10.543,9.036,6.527,2.008,4.519,12.049,10.041,6.024,10.041,7.53,10.543,4.519,1.003,4.016,8.535,-0.473,3.511,1.823,4.524,-2.498,-4.591,-0.81,-4.389,1.215,-1.148,-10.128,-8.44,-4.794,-6.009,-9.858,-5.739,-1.485,-0.54,3.714,11.074,Positive_507,1
4.088,4.568,2.885,4.568,2.164,7.093,3.727,4.809,2.885,4.088,8.656,7.213,2.524,4.568,3.246,4.689,3.246,0.841,2.765,4.088,-0.579,0.868,-3.598,-1.075,-1.406,1.53,1.117,-0.62,1.323,2.812,1.53,3.06,-2.275,0.331,0.041,4.012,0.993,3.267,3.846,2.109,Positive_99,1
3.319,13.277,1.659,0.0,6.638,1.659,8.297,4.979,1.659,3.319,18.256,6.638,1.659,3.319,8.297,13.277,8.297,1.659,0.0,0.0,-25.173,-14.18,8.019,5.151,1.115,-4.673,-8.763,-0.319,20.552,11.365,-7.541,-4.142,-0.319,2.496,-5.098,-4.089,4.673,5.948,8.869,-0.106,Negative_301,0
6.518,5.704,3.259,4.889,1.629,4.889,3.259,7.741,2.444,4.889,10.592,6.925,2.444,3.259,6.925,6.925,4.481,0.815,1.629,10.185,0.249,-1.441,-1.541,-2.535,0.249,6.113,-1.342,1.491,-4.92,-3.032,2.584,3.38,3.032,3.827,4.374,4.125,-5.318,-3.628,-0.944,-4.125,Negative_677,0
11.103,11.103,0.0,0.0,0.0,22.207,11.103,11.103,11.103,33.31,22.207,0.0,0.0,0.0,22.207,0.0,33.31,0.0,0.0,22.207,-17.827,-13.186,0.105,-14.557,0.738,20.042,-27.954,-19.198,43.987,22.152,-55.907,-30.169,25.105,-19.62,14.03,31.329,-12.553,-19.726,-15.19,-22.574,Negative_1064,0
6.553,6.805,2.773,3.025,1.764,5.292,5.797,6.301,1.764,5.04,10.585,6.301,2.017,2.269,7.813,6.049,4.788,2.521,2.773,7.813,-2.402,-0.637,-1.127,-1.765,2.745,2.843,-0.882,1.667,0.882,4.51,0.098,0.294,-0.637,-1.176,-0.49,0.049,-0.98,-1.912,2.108,-1.225,Positive_633,1
15.156,7.297,2.245,7.297,1.122,7.859,2.806,14.594,2.806,5.613,10.103,2.245,4.49,3.368,5.052,7.859,6.175,0.562,5.613,10.665,3.319,-0.676,-0.738,-0.0,0.0,-0.307,1.475,-0.184,-1.598,-3.319,-6.208,-5.9,-1.168,2.028,-1.414,-0.86,-1.475,-2.581,1.352,-4.671,Positive_921,1
2.087,2.087,2.087,0.695,6.259,4.173,4.173,2.782,1.391,3.477,6.259,4.869,2.087,3.477,6.259,4.869,2.087,0.0,0.695,4.869,4.722,2.975,5.207,2.911,4.14,2.814,6.986,4.851,-2.781,-1.423,3.428,0.226,3.008,3.234,-2.975,-4.592,-0.388,2.038,-0.744,1.682,Negative_1211,0
1.347,3.144,1.347,2.246,2.246,4.941,1.347,0.898,1.347,3.144,3.144,4.491,3.144,1.347,2.246,1.347,2.246,1.796,0.449,0.0,3.357,1.119,1.224,-0.422,1.858,3.42,2.723,1.794,2.111,5.003,1.478,3.124,2.533,2.892,4.222,2.829,3.272,2.554,6.333,6.354,Negative_1279,0
10.935,5.777,6.19,6.19,0.206,3.92,3.92,12.999,0.826,5.364,7.222,6.396,3.302,4.746,4.746,7.841,8.872,1.856,3.92,8.666,1.936,1.708,-5.353,-7.859,2.449,1.082,-0.285,0.342,-0.228,-0.797,-5.296,-1.025,0.456,-0.114,1.936,-1.651,1.139,0.228,-1.765,-0.797,Positive_551,1
9.483,7.376,2.74,6.111,3.056,6.322,4.004,7.376,2.845,4.953,11.064,5.058,1.581,5.058,5.479,6.006,5.164,0.949,4.109,8.219,2.406,2.406,-2.674,-1.123,-1.07,0.535,-1.123,0.053,-3.262,-2.406,-2.781,-1.23,-0.481,0.909,-1.283,-0.16,1.39,1.337,1.016,0.588,Positive_702,1
8.233,5.337,5.794,5.489,0.609,7.318,3.05,9.3,2.439,5.946,9.3,6.861,2.287,6.861,7.013,8.691,4.574,1.982,5.946,7.318,-1.029,-2.973,-4.46,-5.889,1.544,1.887,-1.144,2.459,-5.603,-6.575,-0.515,-0.114,2.859,2.401,2.173,1.83,-1.544,-1.658,0.286,1.715,Positive_321,1
7.811,3.124,0.937,2.083,0.729,2.395,0.937,4.061,0.833,2.395,7.602,0.729,1.354,2.187,4.478,3.645,2.395,0.625,2.291,4.791,4.875,1.745,5.069,1.717,3.38,1.44,4.183,2.493,1.745,0.222,1.302,0.139,3.019,1.607,2.604,1.302,3.102,1.468,1.69,1.496,Negative_1010,0
3.719,4.339,0.62,3.719,2.479,3.719,3.719,11.157,3.099,3.099,9.297,3.099,3.099,3.719,14.255,8.057,4.958,1.24,0.62,5.578,4.586,2.948,0.187,0.234,-3.603,-1.591,-6.598,-4.352,-1.544,-4.118,1.778,3.556,2.574,5.054,2.293,1.685,2.527,1.638,0.234,-1.076,Negative_225,0
6.243,4.459,4.459,6.243,4.459,5.86,4.459,5.479,2.676,3.695,9.556,4.077,2.676,3.057,4.459,9.556,3.95,1.147,1.784,6.626,2.278,1.519,-2.848,-1.234,2.183,2.753,-0.38,0.047,-0.19,0.664,-0.617,-0.475,-1.614,-0.902,0.285,1.092,0.664,1.898,-0.38,0.332,Negative_414,0
6.131,7.075,2.83,3.773,1.887,3.302,5.66,5.188,1.415,0.0,7.546,1.887,3.302,1.415,5.188,6.603,3.773,0.943,0.472,6.603,-2.85,1.537,-1.162,1.35,-2.025,-1.687,5.812,0.75,-6.674,-0.525,1.537,2.325,4.799,6.149,5.474,6.074,-0.037,0.0,3.787,0.375,Negative_504,0
4.271,2.261,1.759,1.759,0.628,3.015,1.633,3.769,1.005,5.779,5.025,2.889,0.377,3.141,2.01,3.769,4.146,1.005,1.256,4.02,3.96,0.803,3.104,1.606,3.586,3.72,3.184,1.793,2.729,0.937,4.121,0.589,4.763,3.024,1.284,0.803,4.174,1.713,0.883,-0.294,Positive_183,1
0.0,0.0,4.712,0.0,0.943,0.943,2.827,0.0,1.885,2.827,9.424,6.597,5.655,0.943,10.366,3.769,7.539,2.827,1.885,0.943,-2.051,-3.044,1.826,-0.577,7.337,5.831,-0.481,3.813,6.056,5.383,3.396,-2.179,0.096,-0.352,3.845,3.204,4.934,7.177,-3.525,-4.774,Negative_121,0
4.219,4.725,1.35,1.856,1.519,3.544,2.7,5.569,1.35,0.675,6.412,4.219,1.013,1.35,7.594,5.063,1.013,0.675,1.519,3.375,4.839,4.062,-2.151,-0.358,-0.119,0.956,2.449,3.973,3.704,3.883,1.583,2.33,0.836,1.762,2.509,3.136,-0.627,1.314,2.867,3.315,Negative_1228,0
7.622,7.622,1.089,1.633,0.0,3.811,2.722,7.078,0.544,3.267,5.445,8.712,3.267,3.267,3.811,1.089,4.9,1.089,1.089,5.989,-3.813,0.111,-4.11,-3.739,-5.035,-1.555,11.588,10.626,6.22,5.072,1.0,-1.37,2.666,0.963,-1.074,-0.111,-1.518,1.888,4.221,3.924,Positive_893,1
4.713,2.165,0.637,1.784,0.51,1.529,1.529,3.057,0.892,1.401,7.516,1.401,1.019,2.165,2.803,3.057,2.165,0.764,1.146,4.459,3.063,2.28,4.069,2.705,3.264,3.018,4.002,2.772,4.851,2.772,2.28,2.258,4.069,2.213,2.101,1.14,1.744,0.268,3.465,2.951,Negative_1170,0
4.782,2.575,3.679,6.99,0.368,4.782,4.047,8.094,4.414,3.311,9.565,8.829,0.736,4.414,6.253,6.622,4.414,2.575,2.943,6.253,-6.982,-5.404,0.861,1.243,1.578,2.917,-4.161,-0.383,2.391,3.922,-2.2,0.574,3.73,6.074,-2.726,-4.209,4.639,5.069,-1.339,-1.243,Positive_230,1
4.053,5.809,2.972,5.538,0.81,4.997,3.377,5.133,2.431,4.187,7.699,4.997,2.161,2.837,5.943,8.375,4.727,0.54,2.972,4.053,-0.585,0.502,-1.672,-0.92,3.052,3.177,0.753,2.258,-2.216,-0.042,-0.836,1.589,-0.794,2.007,-1.463,-0.962,4.222,3.93,1.839,2.55,Positive_1218,1
5.606,2.803,1.752,0.701,1.051,1.752,2.453,3.854,0.35,3.504,7.358,2.453,0.701,3.854,1.401,2.803,2.102,1.051,3.153,2.803,2.292,1.571,4.043,1.7,4.069,3.168,4.816,5.305,3.142,1.03,1.365,1.236,3.528,1.082,-0.0,0.567,1.674,3.193,2.163,2.55,Positive_670,1
7.066,4.393,3.247,4.966,0.573,4.584,2.865,7.257,2.674,3.82,6.494,6.494,2.674,5.539,5.921,6.494,5.348,1.337,4.966,5.539,-0.231,0.923,-1.522,-0.092,2.629,-0.646,0.554,-1.753,-0.969,-2.814,0.046,2.076,2.03,4.197,-1.245,0.277,-0.738,0.0,4.52,0.507,Positive_1013,1
3.023,3.023,2.015,2.217,2.821,3.829,2.217,2.821,1.209,2.418,8.665,2.015,3.224,3.023,2.015,3.829,3.628,2.015,2.62,4.837,3.288,1.905,1.567,1.229,5.009,3.073,1.537,1.383,2.889,1.936,2.551,0.553,2.336,0.338,1.782,0.615,2.52,0.983,2.919,0.123,Negative_980,0
4.716,0.673,4.043,4.043,4.043,4.043,7.411,4.716,1.348,6.063,8.758,8.084,1.348,4.043,8.758,10.779,4.043,1.348,2.695,10.779,-2.543,0.254,6.663,4.273,0.916,-2.391,5.595,-0.305,3.764,1.475,-1.577,-0.966,-2.543,-5.239,-2.085,-4.222,-0.153,0.661,-3.103,-0.203,Negative_697,0
7.513,5.86,2.855,4.132,1.503,6.311,4.057,7.739,2.179,2.629,10.82,2.103,0.902,2.405,7.438,7.513,6.386,1.728,1.953,7.213,-2.89,-0.0,2.191,2.471,-1.538,-1.632,1.911,1.958,-2.844,-1.725,1.911,1.305,-0.559,0.886,0.373,0.466,1.399,0.186,1.445,1.445,Negative_701,0
4.11,3.053,1.174,0.822,1.526,1.291,2.114,3.053,1.761,2.114,9.276,1.291,0.939,3.757,2.583,2.935,2.7,1.644,2.114,3.17,3.908,2.674,2.391,2.828,2.983,1.337,4.397,3.317,3.857,3.214,2.263,1.414,0.823,2.211,0.489,1.131,1.671,1.054,3.857,2.751,Negative_90,0
6.304,7.706,2.802,2.802,0.35,5.954,3.152,5.254,1.051,2.802,7.355,7.005,1.401,1.401,2.102,3.853,2.102,0.35,2.802,5.604,-2.597,0.036,3.175,5.592,-1.948,1.984,6.061,5.628,-0.685,2.597,-5.303,-1.263,2.778,6.782,-1.912,0.577,-1.984,4.978,0.613,2.742,Positive_100,1
5.538,3.508,1.292,0.554,1.846,2.769,0.923,4.984,0.738,0.923,7.384,1.846,0.738,2.031,2.215,2.4,2.585,1.292,0.738,3.692,4.944,2.304,4.464,2.424,2.856,-0.048,5.256,3.72,3.984,1.272,1.896,1.368,5.232,0.528,3.456,0.936,3.36,0.672,2.112,1.272,Negative_167,0
3.578,2.917,3.743,3.743,2.147,4.569,4.019,4.955,2.807,2.202,5.45,5.45,0.771,2.147,4.624,7.872,3.578,0.385,1.982,3.578,0.705,2.362,0.564,2.151,1.34,3.068,0.635,3.42,-0.882,1.481,1.199,2.221,0.458,1.763,-0.035,1.975,0.705,2.927,0.599,2.821,Negative_978,0
3.811,2.177,2.177,2.177,2.177,0.545,4.9,5.444,7.622,3.267,6.533,4.9,4.356,1.633,8.167,5.989,8.167,1.089,2.722,5.444,-0.375,1.333,2.416,1.416,1.833,0.083,3.79,2.666,1.916,-1.374,5.831,3.79,-2.832,-3.249,1.749,-0.625,0.167,-2.166,-0.0,0.333,Negative_543,0
5.549,5.681,3.436,3.699,1.718,5.021,3.171,5.549,1.85,3.039,6.078,4.889,2.378,2.114,6.606,7.002,4.096,1.057,1.057,5.946,5.635,5.276,-0.52,-1.199,-1.239,1.359,1.079,1.679,-0.08,0.4,-2.798,-1.319,-2.158,0.24,2.518,5.116,0.719,4.117,-0.56,1.799,Negative_783,0
