PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC30,id,label
5.379,2.59,3.288,3.686,0.0,2.092,2.391,5.08,0.797,1.693,3.985,2.49,1.195,2.391,0.996,4.084,3.188,1.096,1.992,1.893,5.121,4.897,5.144,4.799,4.923,4.995,4.49,5.192,5.041,5.091,Positive_119,1
6.134,4.568,0.653,1.305,1.175,1.305,1.827,7.439,1.566,1.435,3.654,1.044,0.522,0.261,8.092,3.785,4.176,1.044,0.261,2.219,4.701,4.633,4.696,4.835,4.523,4.877,4.698,4.704,5.01,4.858,Negative_122,0
4.619,6.337,0.322,0.967,3.867,2.47,1.826,4.082,3.867,0.43,3.545,2.148,0.107,2.148,2.793,4.082,2.793,0.0,0.537,1.611,5.154,5.251,5.185,5.573,5.654,4.69,4.814,5.61,4.559,4.962,Negative_155,0
4.216,2.342,2.811,2.03,1.249,2.811,2.498,2.654,1.249,2.811,7.808,2.967,1.093,2.967,2.03,4.06,3.436,0.469,1.405,2.342,4.603,4.803,4.678,4.494,4.728,4.989,4.614,4.915,4.598,4.329,Positive_11,1
4.494,2.118,2.953,2.44,0.0,2.889,2.504,4.558,0.642,2.825,4.494,3.403,1.284,1.348,1.797,5.265,3.724,0.513,2.44,3.018,4.652,4.96,4.818,4.596,4.728,4.683,4.665,4.673,4.723,4.794,Positive_207,1
5.589,3.46,0.932,2.295,0.998,2.429,2.096,5.39,1.031,0.466,4.658,2.429,0.599,1.797,7.419,5.822,2.329,0.299,1.231,2.063,4.648,4.536,4.531,4.64,4.709,4.829,4.568,4.768,4.776,4.664,Negative_25,0
8.162,0.96,0.96,1.92,0.0,3.841,0.96,4.801,1.92,2.401,4.801,2.88,0.96,1.44,3.361,4.321,6.241,0.96,0.96,3.361,4.188,4.411,4.378,4.387,4.549,4.533,4.414,5.149,4.668,4.111,Positive_162,1
3.538,2.957,2.375,2.714,1.454,3.005,2.278,3.781,0.776,3.151,3.344,2.375,1.745,1.939,2.472,3.878,3.296,0.679,1.891,3.49,4.94,5.15,4.978,4.725,4.751,4.856,4.848,4.935,4.886,4.792,Positive_222,1
4.916,2.319,2.969,2.597,0.464,2.69,1.392,4.545,1.021,2.597,3.432,1.855,1.113,1.948,4.453,2.226,4.639,1.763,1.577,3.525,5.074,4.642,4.811,4.65,4.588,4.822,4.707,4.817,4.996,4.85,Positive_111,1
4.568,1.218,2.131,2.131,1.675,3.806,2.436,5.481,1.218,3.806,4.72,3.806,1.37,2.284,2.284,1.979,2.284,0.304,0.761,4.872,4.796,5.303,4.628,4.448,4.907,4.437,4.753,4.753,4.559,4.278,Positive_15,1
6.385,6.233,0.304,2.281,0.456,6.081,1.824,3.345,0.456,0.152,3.345,3.345,0.456,0.304,7.298,3.649,1.52,0.912,0.0,1.976,5.181,4.871,5.13,5.118,5.075,4.738,4.967,4.823,4.73,5.045,Negative_111,0
4.315,3.86,1.022,1.93,1.363,4.201,3.293,2.498,1.703,2.271,5.337,2.384,1.476,2.044,3.633,4.201,1.476,0.454,0.795,2.498,4.789,5.06,4.733,5.113,4.535,4.905,4.88,5.065,4.987,5.179,Positive_194,1
9.428,1.964,0.786,3.928,0.786,1.571,3.142,3.536,0.786,1.178,3.142,5.107,0.786,2.357,2.357,2.75,1.571,0.786,1.178,2.75,5.43,4.872,4.617,5.084,4.829,4.54,4.944,5.298,5.104,5.395,Positive_130,1
7.151,2.738,2.13,2.435,0.608,2.738,3.5,4.108,1.369,2.738,6.086,1.826,1.065,2.13,2.738,3.043,2.435,0.0,0.913,2.738,4.916,4.643,4.546,4.661,4.472,4.827,4.506,5.094,5.165,4.68,Positive_102,1
4.477,3.731,2.238,1.119,1.865,2.612,2.984,4.103,2.238,1.865,3.731,0.373,0.746,0.373,3.357,8.207,4.477,1.492,0.746,3.357,4.736,4.53,4.844,4.622,4.69,4.311,4.56,4.325,4.509,4.782,Negative_179,0
3.079,3.351,1.902,3.441,1.358,1.992,1.63,3.26,1.358,1.721,5.162,2.173,0.996,2.173,4.075,6.611,2.083,1.087,0.996,2.807,4.933,5.018,4.79,4.808,4.987,4.972,4.757,4.9,4.813,4.764,Negative_38,0
4.147,0.519,2.073,1.555,0.519,2.592,1.555,1.555,0.0,4.665,14.513,1.555,4.147,4.147,4.147,3.11,3.628,2.073,1.555,1.555,4.569,3.711,4.366,3.773,4.173,3.922,3.463,4.327,4.173,3.916,Positive_14,1
3.686,2.027,0.553,2.764,5.529,3.502,3.133,2.58,1.106,2.212,5.529,3.502,1.659,2.212,3.686,2.027,3.317,0.921,1.29,2.58,4.518,4.475,5.147,4.798,4.574,4.69,4.402,4.445,4.545,4.593,Negative_2,0
1.36,3.496,1.943,1.36,2.914,2.331,1.165,2.914,2.914,4.856,5.439,1.748,1.748,3.885,3.108,1.748,2.137,1.554,1.943,2.914,4.741,4.831,4.764,5.024,5.194,4.633,4.88,4.708,4.978,4.769,Negative_11,0
4.999,3.666,0.667,1.333,1.667,4.0,2.666,2.333,1.667,0.667,11.666,0.333,1.333,0.333,4.667,5.666,2.333,0.333,1.0,3.333,4.296,4.409,4.277,4.693,4.69,4.791,4.638,4.337,4.775,4.43,Negative_194,0
5.049,5.643,0.297,1.188,1.782,2.673,1.485,3.267,2.97,0.297,4.158,1.782,0.594,1.485,9.801,4.455,1.782,0.0,0.891,1.485,5.264,4.909,4.546,5.034,4.975,4.592,4.697,5.024,5.006,4.871,Negative_27,0
4.968,2.67,1.186,2.298,0.705,2.929,2.225,15.053,0.297,1.26,2.076,2.484,0.593,0.927,10.01,1.78,1.631,0.26,0.37,1.409,4.885,4.896,3.258,5.127,4.857,3.506,4.99,4.863,3.545,4.94,Positive_90,1
3.408,4.292,1.01,1.767,1.01,3.03,2.777,2.651,1.136,0.883,7.321,1.262,0.757,2.651,4.418,4.292,3.156,0.757,0.505,4.67,4.829,5.173,4.782,4.855,4.409,4.717,4.65,4.759,4.893,5.178,Negative_19,0
8.11,3.702,1.058,3.702,0.176,1.939,1.234,5.289,1.058,1.939,4.76,0.882,0.882,0.529,2.821,2.292,1.763,0.882,0.529,6.523,5.298,4.932,4.862,5.057,4.787,4.794,4.799,5.04,4.884,5.475,Positive_86,1
4.416,2.688,1.536,2.688,0.384,2.304,3.456,5.761,0.384,2.112,2.88,2.688,0.576,2.304,4.801,3.456,2.88,1.152,0.96,3.072,5.328,4.633,4.949,4.911,5.184,5.252,4.49,5.0,5.078,4.674,Negative_73,0
4.289,1.87,1.759,2.859,0.66,2.969,1.1,4.839,1.1,3.299,2.859,5.168,1.319,1.539,2.749,2.529,3.189,0.55,1.319,4.839,4.903,5.052,4.506,4.831,4.814,5.017,4.511,5.179,5.383,4.999,Positive_218,1
3.649,3.014,1.983,2.776,1.111,3.807,1.983,3.649,1.586,1.666,4.68,3.094,1.586,1.745,2.617,1.428,2.617,0.873,1.745,3.887,4.871,5.071,4.925,5.123,5.252,5.049,4.955,5.086,4.989,5.182,Positive_154,1
3.789,2.997,2.375,3.053,0.735,3.449,1.583,2.771,1.357,2.771,4.693,3.166,1.188,2.375,2.262,2.036,2.036,0.678,1.866,3.732,5.121,5.451,4.957,4.991,5.094,5.138,5.082,4.793,5.243,5.219,Positive_94,1
3.404,4.68,1.063,3.404,0.425,3.616,0.638,2.34,1.063,2.765,4.042,2.34,1.276,2.127,1.702,2.553,2.34,0.0,2.765,4.467,5.192,5.38,5.46,4.748,5.423,4.703,5.371,5.51,5.432,5.768,Positive_101,1
4.277,1.901,0.95,1.901,0.0,3.801,0.95,4.752,3.801,0.95,2.851,5.227,1.425,3.326,1.425,1.901,0.95,1.901,1.901,2.376,5.709,5.453,5.462,5.157,4.799,5.679,5.444,5.339,5.658,4.734,Positive_24,1
4.135,4.385,0.376,1.879,1.128,4.009,3.634,3.508,2.005,1.002,4.636,2.255,0.877,1.378,5.764,4.26,2.255,1.002,0.125,2.506,4.902,4.68,4.764,4.849,5.097,4.747,4.897,5.14,5.13,4.672,Negative_175,0
6.334,6.032,0.754,2.866,0.603,1.81,2.413,3.619,0.603,0.754,5.58,0.905,0.302,0.905,9.954,3.167,2.564,0.453,0.302,1.508,4.376,4.654,5.001,4.767,5.215,5.024,4.834,4.86,4.929,4.911,Negative_167,0
4.804,1.569,1.471,4.216,0.686,5.49,1.274,2.843,1.078,2.255,4.51,4.608,0.49,3.235,2.059,2.255,2.255,0.49,1.176,3.039,5.033,5.371,4.769,5.204,5.048,5.18,4.826,4.766,4.906,5.095,Positive_96,1
2.004,3.149,1.574,2.004,1.718,3.864,1.718,2.29,1.002,1.86,5.439,3.721,1.288,1.718,4.151,5.725,1.574,1.145,1.288,3.435,4.877,5.158,4.907,4.874,4.811,4.93,4.801,5.145,4.922,4.91,Negative_12,0
4.578,1.62,2.817,2.888,1.338,3.24,3.592,3.099,1.268,2.465,5.001,2.395,1.268,2.254,4.366,7.184,5.001,0.282,0.563,2.747,4.385,4.286,4.344,4.118,4.136,4.214,4.037,4.127,4.107,4.281,Negative_101,0
3.011,1.779,2.327,2.053,1.095,2.874,1.232,3.695,1.369,4.927,5.474,4.106,1.095,1.369,2.189,4.516,3.148,1.095,0.821,3.969,4.938,4.768,4.86,4.774,4.776,4.716,4.68,4.721,5.019,4.607,Positive_10,1
4.603,2.013,1.438,2.589,0.0,3.452,3.452,3.164,2.301,3.452,5.178,2.301,1.726,3.452,2.013,4.315,2.589,0.575,1.151,2.301,4.939,5.129,4.467,4.814,4.837,4.494,4.855,4.522,4.772,5.103,Positive_121,1
8.09,1.156,3.082,2.697,0.771,1.156,1.926,5.008,0.771,1.926,5.008,5.393,1.541,1.926,1.156,2.312,4.238,0.385,1.156,3.852,4.115,4.683,4.603,4.474,4.704,5.076,4.678,4.959,4.667,4.493,Positive_126,1
1.43,1.2,3.045,2.445,1.8,3.045,1.938,2.122,1.384,3.645,4.799,3.599,1.107,2.584,3.184,5.906,3.23,1.246,2.077,3.968,4.65,4.435,4.685,4.583,4.596,4.736,4.666,4.792,4.507,4.596,Positive_181,1
5.763,4.082,0.48,2.641,1.441,3.602,1.201,4.803,0.0,0.48,5.523,1.681,0.24,2.161,6.243,3.362,2.401,0.48,0.48,1.921,4.649,4.882,5.362,5.386,5.416,4.906,5.215,5.224,4.793,5.18,Negative_55,0
3.844,4.393,2.197,3.295,1.098,0.549,1.098,3.295,0.549,2.746,6.041,3.844,1.647,1.647,3.844,2.746,0.549,1.098,2.197,1.098,4.845,5.117,4.618,5.112,5.628,5.552,4.904,5.798,5.248,5.401,Positive_27,1
6.556,2.77,2.123,3.047,0.185,2.308,2.955,3.97,1.016,2.585,4.801,1.754,1.57,1.662,2.678,3.047,1.754,0.554,1.201,5.078,4.924,4.968,4.663,4.666,4.901,4.72,4.756,5.035,4.939,4.813,Positive_62,1
2.813,3.069,1.534,2.046,2.813,2.174,1.79,3.452,1.151,2.941,6.905,3.069,1.023,1.79,2.429,3.708,3.069,1.023,1.918,3.58,4.26,4.738,4.532,4.605,4.54,4.971,5.131,4.833,4.987,5.104,Negative_219,0
3.925,4.553,0.471,1.884,1.884,4.396,1.727,3.611,0.785,1.57,5.181,1.413,0.785,1.884,3.611,3.14,1.57,1.099,0.785,3.14,5.125,5.495,5.35,5.312,5.229,5.327,5.094,5.099,5.419,5.139,Negative_83,0
2.222,3.231,3.029,3.029,0.0,2.423,1.01,3.635,0.808,2.019,5.453,5.655,1.414,0.606,2.019,2.827,1.818,1.01,1.212,4.039,5.444,5.213,5.41,5.47,4.9,5.444,5.289,4.836,5.455,5.08,Positive_170,1
